# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	94881	95327	-	OBIBPL_00081		PTS EIIA type-2 domain-containing protein	SO:0001217, UniRef:UniRef50_S3KHH6
contig_1	cds	95444	96352	+	OBIBPL_00082	pilZ	PilZ domain-containing protein	SO:0001217, UniRef:UniRef50_O83124
contig_1	cds	96355	96741	-	OBIBPL_00083		hypothetical protein	
contig_1	cds	96878	97492	-	OBIBPL_00084		hypothetical protein	
contig_1	cds	97522	98757	-	OBIBPL_00085		Cyclic nucleotide-binding domain-containing protein	SO:0001217, UniRef:UniRef50_M2BUH9
contig_1	cds	98840	99904	-	OBIBPL_00086		UDP-N-acetylenolpyruvoylglucosamine reductase	SO:0001217, UniRef:UniRef50_O83128
contig_1	cds	100086	101648	+	OBIBPL_00087		Cysteine--tRNA ligase	SO:0001217, UniRef:UniRef50_O83129
contig_1	cds	101668	102207	+	OBIBPL_00088		RNA polymerase sigma-24 factor (RpoE)	SO:0001217, UniRef:UniRef50_O83130
contig_1	cds	102191	102838	+	OBIBPL_00089		hypothetical protein	PFAM:PF13490.11
contig_1	cds	102976	103986	+	OBIBPL_00090		Phosphate acetyltransferase	SO:0001217, UniRef:UniRef50_Q73RP3
contig_1	cds	103986	105932	+	OBIBPL_00091		TPR repeat-containing protein TP_0095	SO:0001217, UniRef:UniRef50_O83133
contig_1	cds	106006	106368	-	OBIBPL_00092	dnaK	DnaK suppressor, putative	SO:0001217, UniRef:UniRef50_O83134
contig_1	cds	106538	106756	+	OBIBPL_00093		Translation initiation factor IF-1	SO:0001217, UniRef:UniRef50_A0A0N1BL88
contig_1	cds	106809	107465	-	OBIBPL_00094	dnaJ	Chaperone DnaJ	SO:0001217, UniRef:UniRef50_F7XRB1
contig_1	cds	107469	108224	-	OBIBPL_00095		Uridylate kinase	SO:0001217, UniRef:UniRef50_F7XRU2
contig_1	cds	108419	109021	+	OBIBPL_00096		hypothetical protein	PFAM:PF00085.26, PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13098.12, PFAM:PF13905.12
contig_1	cds	109014	109808	+	OBIBPL_00097		hypothetical protein	PFAM:PF02683.22
contig_1	cds	109846	111819	-	OBIBPL_00098		DNA 3'-5' helicase	SO:0001217, UniRef:UniRef50_H7EMN1
contig_1	cds	111884	112579	+	OBIBPL_00099		hypothetical protein	PFAM:PF00270.35
contig_1	cds	112603	113247	+	OBIBPL_00100		hypothetical protein	PFAM:PF00270.35, PFAM:PF00271.37
contig_1	cds	113295	113705	+	OBIBPL_00101		hypothetical protein	
contig_1	cds	113952	115580	+	OBIBPL_00102		NAD 5'-nucleotidase	SO:0001217, UniRef:UniRef50_P44569
contig_1	cds	115746	118739	+	OBIBPL_00103		DNA polymerase I	SO:0001217, UniRef:UniRef50_P74933
contig_1	cds	118771	120303	-	OBIBPL_00104		BCCT family transporter	SO:0001217, UniRef:UniRef50_A0A0J1J4P3
contig_1	cds	120284	122095	-	OBIBPL_00105		putative bifunctional choline-phosphate cytidylyltransferase/choline kinase	SO:0001217, UniRef:UniRef50_F7XRU8
contig_1	cds	122215	123600	-	OBIBPL_00106		ATP-dependent 6-phosphofructokinase	SO:0001217, UniRef:UniRef50_A0A929HXF6
contig_1	cds	123702	124580	-	OBIBPL_00107		putative rRNA (Adenosine-2'-O-)-methyltransferase	SO:0001217, UniRef:UniRef50_F7XRU9
contig_1	tRNA	124840	124910	+	OBIBPL_00108	trnQ	tRNA-Gln(ctg)	SO:0000261
contig_1	tRNA	124920	124991	+	OBIBPL_00109	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	tRNA	125028	125099	+	OBIBPL_00110	trnE	tRNA-Glu(ctc)	SO:0000259
contig_1	cds	125142	126854	+	OBIBPL_00111		Uncharacterized protein TP_0110	SO:0001217, UniRef:UniRef50_O83148
contig_1	cds	126914	128341	+	OBIBPL_00112		RNA polymerase sigma-54 factor	SO:0001217, UniRef:UniRef50_O83149
contig_1	cds	128338	129690	-	OBIBPL_00113		Aminopeptidase	SO:0001217, UniRef:UniRef50_F4BNA1
contig_1	cds	129832	130818	+	OBIBPL_00114		hypothetical protein	
contig_1	cds	130823	131818	+	OBIBPL_00115	hflC	Protein HflC	SO:0001217, UniRef:UniRef50_O83152
contig_1	cds	131843	132652	-	OBIBPL_00116		Putative pyridoxine kinase	SO:0001217, UniRef:UniRef50_O83153
contig_1	cds	132777	134810	+	OBIBPL_00117		UvrABC system protein B	SO:0001217, UniRef:UniRef50_Q03AL7
contig_1	cds	134842	136089	-	OBIBPL_00118		hypothetical protein	PFAM:PF02722.21
contig_1	cds	136043	136633	-	OBIBPL_00119		hypothetical protein	
contig_1	cds	136712	137977	-	OBIBPL_00120		hypothetical protein	
contig_1	cds	138075	138734	-	OBIBPL_00121		Methionine ABC superfamily ATP binding cassette transporter, membrane protein	SO:0001217, UniRef:UniRef50_A0A090HWK7
contig_1	cds	138734	139543	-	OBIBPL_00122		Methionine transport system ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A388T721
contig_1	cds	139666	140742	+	OBIBPL_00123		Putative L-lysine 2,3-aminomutase	SO:0001217, UniRef:UniRef50_O83158
contig_1	cds	140962	142818	-	OBIBPL_00124		Phosphoenolpyruvate carboxykinase [GTP]	SO:0001217, UniRef:UniRef50_A0A5C6DH39
contig_1	cds	142951	145494	+	OBIBPL_00125		TPR repeat-containing protein TP_0123	SO:0001217, UniRef:UniRef50_O83160
contig_1	cds	145508	146614	+	OBIBPL_00126	ychF	Ribosome-binding ATPase YchF	SO:0001217, UniRef:UniRef50_P37518
contig_1	cds	146691	147485	+	OBIBPL_00127		Exodeoxyribonuclease III	SO:0001217, UniRef:UniRef50_E5FNS8
contig_1	cds	147549	148220	-	OBIBPL_00128		hypothetical protein	
contig_1	cds	148274	148912	-	OBIBPL_00129		hypothetical protein	
contig_1	cds	148994	149263	+	OBIBPL_00130		hypothetical protein	
contig_1	cds	149141	149749	-	OBIBPL_00131		hypothetical protein	PFAM:PF02722.21
contig_1	cds	150054	150722	+	OBIBPL_00132		Uncharacterized protein TP_0127	SO:0001217, UniRef:UniRef50_O83164
contig_1	cds	151493	151960	-	OBIBPL_00133		hypothetical protein	
contig_1	cds	152668	153915	-	OBIBPL_00134		hypothetical protein	PFAM:PF02722.21
contig_1	cds	153869	154459	-	OBIBPL_00135		hypothetical protein	
contig_1	cds	154699	155961	-	OBIBPL_00136		Uncharacterized lipoprotein TP_0134	SO:0001217, UniRef:UniRef50_O83170
contig_1	cds	156148	156879	+	OBIBPL_00137		Outer membrane protein beta-barrel domain-containing protein	SO:0001217, UniRef:UniRef50_F7XRX5
contig_1	tRNA	157028	157100	+	OBIBPL_00138	trnV	tRNA-Val(tac)	SO:0000273
contig_1	cds	157336	158505	+	OBIBPL_00139		Uncharacterized lipoprotein TP_0134	SO:0001217, UniRef:UniRef50_O83170
contig_1	cds	158920	159600	-	OBIBPL_00140		Uncharacterized protein TP_0138	SO:0001217, UniRef:UniRef50_O83174
contig_1	cds	159665	160357	-	OBIBPL_00141	trkA	TrkA family potassium uptake protein	SO:0001217, UniRef:UniRef50_M2BKL1
contig_1	cds	160397	162115	-	OBIBPL_00142		K+ transport protein (NtpJ)	SO:0001217, UniRef:UniRef50_O83176
contig_1	cds	162295	162828	+	OBIBPL_00143		hypothetical protein	PFAM:PF01035.26
contig_1	cds	162779	163441	-	OBIBPL_00144		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_M2ARP1
contig_1	cds	163434	165176	-	OBIBPL_00145		Thiamine ABC transporter, permease protein, putative	SO:0001217, UniRef:UniRef50_O83179
contig_1	cds	165173	166180	-	OBIBPL_00146		hypothetical protein	
contig_1	cds	166290	168260	+	OBIBPL_00147		Long-chain-fatty-acid--CoA ligase	SO:0001217, UniRef:UniRef50_F7XRY5
contig_1	tRNA	168334	168415	-	OBIBPL_00148	trnL	tRNA-Leu(gag)	SO:0000264
contig_1	cds	168600	168767	+	OBIBPL_00149		hypothetical protein	
contig_1	cds	168767	169066	+	OBIBPL_00150		hypothetical protein	
contig_1	cds	169063	169374	+	OBIBPL_00151		hypothetical protein	
contig_1	cds	169371	169640	+	OBIBPL_00152		hypothetical protein	
contig_1	cds	169650	171509	-	OBIBPL_00153		Alpha-amylase 1, putative	SO:0001217, UniRef:UniRef50_O83182
contig_1	cds	171506	172081	-	OBIBPL_00154		hypothetical protein	
contig_1	cds	172081	172671	-	OBIBPL_00155		hypothetical protein	
contig_1	cds	172664	173131	-	OBIBPL_00156		hypothetical protein	
contig_1	cds	173115	174134	-	OBIBPL_00157		hypothetical protein	
contig_1	cds	174121	175605	-	OBIBPL_00158	rnfC	putative NADH dehydrogenase (Ubiquinone), subunit RnfC	SO:0001217, UniRef:UniRef50_F7XRZ1
contig_1	cds	175741	176232	-	OBIBPL_00159		Divergent PAP2 family protein	SO:0001217, UniRef:UniRef50_Q73MW8
contig_1	cds	176394	177494	+	OBIBPL_00160		Pseudouridylate synthase	SO:0001217, UniRef:UniRef50_F7XRZ3
contig_1	cds	177500	178615	+	OBIBPL_00161	lysM	LysM domain-containing protein	SO:0001217, UniRef:UniRef50_O83190
contig_1	cds	178657	179061	-	OBIBPL_00162		Thioesterase family protein	SO:0001217, UniRef:UniRef50_Q73KJ3
contig_1	cds	179058	179960	-	OBIBPL_00163		hypothetical protein	
contig_1	cds	179957	180622	-	OBIBPL_00164		Pyrimidine 5'-nucleotidase	SO:0001217, UniRef:UniRef50_O83193
contig_1	cds	180647	181675	-	OBIBPL_00165		hypothetical protein	
contig_1	cds	181791	183650	-	OBIBPL_00166		Proline--tRNA ligase	SO:0001217, UniRef:UniRef50_Q73KJ8
contig_1	cds	183756	184808	-	OBIBPL_00167	ruvB	Holliday junction branch migration complex subunit RuvB	SO:0001217, UniRef:UniRef50_P70828
contig_1	cds	184984	185910	+	OBIBPL_00168	troA	transition metal ABC transporter substrate-binding protein TroA	BlastRules:WP_010881610, SO:0001217, UniRef:UniRef50_P96116
contig_1	cds	186058	186858	+	OBIBPL_00169	troB	transition metal ABC transporter ATP-binding protein TroB	BlastRules:WP_010881611, SO:0001217, UniRef:UniRef50_F4BNH0
contig_1	cds	186830	187726	+	OBIBPL_00170	troC	transition metal ABC transporter permease subunit TroC	BlastRules:WP_010881612, SO:0001217, UniRef:UniRef50_A0A0E2EJU4
contig_1	cds	187730	188833	+	OBIBPL_00171	troD	transition metal ABC transporter permease subunit TroD	BlastRules:WP_014342310, SO:0001217, UniRef:UniRef50_P96119
contig_1	cds	188843	189304	+	OBIBPL_00172	troR	manganese/iron-sensitive transcriptional repressor TroR	BlastRules:WP_010881614
contig_1	cds	189384	190139	+	OBIBPL_00173		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	SO:0001217, UniRef:UniRef50_C0QV47
contig_1	tRNA	190265	190337	+	OBIBPL_00174	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	cds	190458	191267	+	OBIBPL_00175		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SO:0001217, UniRef:UniRef50_P96122
contig_1	cds	191366	191794	+	OBIBPL_00176		15 kDa lipoprotein	SO:0001217, UniRef:UniRef50_P16055
contig_1	cds	191784	193151	-	OBIBPL_00177		hypothetical protein	
contig_1	cds	193159	194679	-	OBIBPL_00178		hypothetical protein	
contig_1	cds	194676	196004	-	OBIBPL_00179		hypothetical protein	
contig_1	cds	196079	197005	-	OBIBPL_00180		hypothetical protein	
contig_1	cds	197005	198888	-	OBIBPL_00181		Uncharacterized protein TP_0179	SO:0001217, UniRef:UniRef50_O83209
contig_1	cds	198981	199424	+	OBIBPL_00182		hypothetical protein	PFAM:PF04977.20
contig_1	cds	199405	200043	+	OBIBPL_00183		hypothetical protein	
contig_1	cds	200046	200891	-	OBIBPL_00184		hypothetical protein	
contig_1	cds	200896	201360	-	OBIBPL_00185		SsrA-binding protein	SO:0001217, UniRef:UniRef50_O83214
contig_1	cds	201448	202155	+	OBIBPL_00186		hypothetical protein	PFAM:PF10502.14
contig_1	cds	202174	203391	+	OBIBPL_00187		Coproporphyrinogen dehydrogenase	SO:0001217, UniRef:UniRef50_F7XS16
contig_1	cds	203755	204942	+	OBIBPL_00188		Elongation factor Tu	SO:0001217, UniRef:UniRef50_P43926
contig_1	cds	205014	205322	+	OBIBPL_00189		Small ribosomal subunit protein uS10	SO:0001217, UniRef:UniRef50_Q2LQA2
contig_1	cds	205369	205995	+	OBIBPL_00190		Large ribosomal subunit protein uL3	SO:0001217, UniRef:UniRef50_S3LPB9
contig_1	cds	205985	206659	+	OBIBPL_00191		Large ribosomal subunit protein uL4	SO:0001217, UniRef:UniRef50_P94268
contig_1	cds	206646	206930	+	OBIBPL_00192		hypothetical protein	
contig_1	cds	206986	207807	+	OBIBPL_00193		Large ribosomal subunit protein uL2	SO:0001217, UniRef:UniRef50_P60405
contig_1	cds	207817	208104	+	OBIBPL_00194		Small ribosomal subunit protein uS19	SO:0001217, UniRef:UniRef50_P94271
contig_1	cds	208113	208487	+	OBIBPL_00195		Large ribosomal subunit protein uL22	SO:0001217, UniRef:UniRef50_O83224
contig_1	cds	208471	209214	+	OBIBPL_00196		Small ribosomal subunit protein uS3	SO:0001217, UniRef:UniRef50_O83225
contig_1	cds	209218	209637	+	OBIBPL_00197		Large ribosomal subunit protein uL16	SO:0001217, UniRef:UniRef50_A0A355UQN7
contig_1	cds	209652	209870	+	OBIBPL_00198		hypothetical protein	
contig_1	cds	209870	210139	+	OBIBPL_00199		Small ribosomal subunit protein uS17	SO:0001217, UniRef:UniRef50_O83228
contig_1	cds	210152	210520	+	OBIBPL_00200		Large ribosomal subunit protein uL14	SO:0001217, UniRef:UniRef50_O83229
contig_1	cds	210532	210843	+	OBIBPL_00201		Large ribosomal subunit protein uL24	SO:0001217, UniRef:UniRef50_O83230
contig_1	cds	210840	211397	+	OBIBPL_00202		Large ribosomal subunit protein uL5	SO:0001217, UniRef:UniRef50_Q8DS25
contig_1	cds	211610	212008	+	OBIBPL_00203		Small ribosomal subunit protein uS8	SO:0001217, UniRef:UniRef50_O51445
contig_1	cds	212018	212557	+	OBIBPL_00204		Large ribosomal subunit protein uL6	SO:0001217, UniRef:UniRef50_O83234
contig_1	cds	212566	212928	+	OBIBPL_00205		Large ribosomal subunit protein uL18	SO:0001217, UniRef:UniRef50_Q73PL6
contig_1	cds	212937	213455	+	OBIBPL_00206		Small ribosomal subunit protein uS5	SO:0001217, UniRef:UniRef50_A0A7X7RJ92
contig_1	cds	213458	213643	+	OBIBPL_00207		Large ribosomal subunit protein uL30	SO:0001217, UniRef:UniRef50_E4RQR2
contig_1	cds	213643	214104	+	OBIBPL_00208		Large ribosomal subunit protein uL15	SO:0001217, UniRef:UniRef50_Q6AP51
contig_1	cds	214112	215431	+	OBIBPL_00209		hypothetical protein	
contig_1	cds	215470	215583	+	OBIBPL_00210		hypothetical protein	PFAM:PF00444.23
contig_1	cds	215599	215964	+	OBIBPL_00211		Small ribosomal subunit protein uS13	SO:0001217, UniRef:UniRef50_Q8DML1
contig_1	cds	215983	216363	+	OBIBPL_00212		Small ribosomal subunit protein uS11	SO:0001217, UniRef:UniRef50_O66485
contig_1	cds	216378	217433	+	OBIBPL_00213		DNA-directed RNA polymerase subunit alpha	SO:0001217, UniRef:UniRef50_G0G9S3
contig_1	cds	217423	217917	+	OBIBPL_00214		hypothetical protein	
contig_1	cds	217941	218138	+	OBIBPL_00215		hypothetical protein	
contig_1	cds	218323	219006	+	OBIBPL_00216		hypothetical protein	
contig_1	cds	219122	221029	+	OBIBPL_00217	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_Q2JI64
contig_1	cds	221198	222400	+	OBIBPL_00218	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_Q73Q15
contig_1	cds	222577	224046	+	OBIBPL_00219		hypothetical protein	
contig_1	cds	224050	226197	+	OBIBPL_00220		hypothetical protein	
contig_1	cds	226226	226384	+	OBIBPL_00221		hypothetical protein	
contig_1	cds	226381	226557	+	OBIBPL_00222		hypothetical protein	PFAM:PF01740.26
contig_1	cds	226544	227341	+	OBIBPL_00223		hypothetical protein	
contig_1	cds	227351	227797	+	OBIBPL_00224		Uncharacterized protein TP_0222	SO:0001217, UniRef:UniRef50_O83251
contig_1	cds	227934	229373	+	OBIBPL_00225		hypothetical protein	PFAM:PF00155.27
contig_1	cds	229563	230303	+	OBIBPL_00226		hypothetical protein	PFAM:PF13306.12
contig_1	cds	230347	230454	+	OBIBPL_00227		hypothetical protein	
contig_1	rRNA	230487	232035	+	OBIBPL_00228	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_1	tRNA	232147	232220	+	OBIBPL_00229	trnA	tRNA-Ala(tgc)	SO:0000254
contig_1	rRNA	232341	235293	+	OBIBPL_00230	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	235342	235452	+	OBIBPL_00231	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	cds	235466	236152	-	OBIBPL_00232		Uncharacterized protein TP_0226	SO:0001217, UniRef:UniRef50_O83254
contig_1	cds	236205	236972	-	OBIBPL_00233		Cobalt ABC transporter, ATP-binding protein	SO:0001217, UniRef:UniRef50_O83255
contig_1	cds	237039	237617	-	OBIBPL_00234		hypothetical protein	
contig_1	cds	237819	238631	+	OBIBPL_00235		hypothetical protein	PFAM:PF03167.24
contig_1	cds	238636	240609	+	OBIBPL_00236		Primosomal protein N'	SO:0001217, UniRef:UniRef50_O83258
contig_1	cds	240710	241360	+	OBIBPL_00237		hypothetical protein	
contig_1	cds	241607	242152	+	OBIBPL_00238		Anti-sigma factor antagonist	SO:0001217, UniRef:UniRef50_A0A1V5WKF9
contig_1	tRNA	242287	242359	+	OBIBPL_00239	trnT	tRNA-Thr(ggt)	SO:0000270
contig_1	cds	242388	242558	+	OBIBPL_00240		Large ribosomal subunit protein bL33	SO:0001217, UniRef:UniRef50_O83262
