# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	tRNA	24821	24907	-	LIHGCB_00020	trnS	tRNA-Ser(gct)	SO:0000269
contig_1	tRNA	24948	25032	-	LIHGCB_00021	trnS	tRNA-Ser(tga)	SO:0000269
contig_1	cds	25196	27586	+	LIHGCB_00022		Uncharacterized protein TP_0021	SO:0001217, UniRef:UniRef50_O83065
contig_1	cds	27647	28978	+	LIHGCB_00023		NSS family neurotransmitter:Na+ symporter	SO:0001217, UniRef:UniRef50_S3MDE5
contig_1	cds	29158	29868	+	LIHGCB_00024		hypothetical protein	PFAM:PF02080.26, PFAM:PF02254.24
contig_1	cds	29947	33018	-	LIHGCB_00025		Peptidase M16C associated domain-containing protein	SO:0001217, UniRef:UniRef50_O83069
contig_1	cds	33047	34069	-	LIHGCB_00026		hypothetical protein	PFAM:PF01706.21
contig_1	cds	34190	35515	+	LIHGCB_00027		Hemolysin, putative	SO:0001217, UniRef:UniRef50_O83071
contig_1	cds	35529	36890	+	LIHGCB_00028		Hemolysin, putative	SO:0001217, UniRef:UniRef50_O83072
contig_1	cds	36999	38276	+	LIHGCB_00029		UDP-N-acetylglucosamine 1-carboxyvinyltransferase	SO:0001217, UniRef:UniRef50_Q73Q03
contig_1	cds	38395	40029	+	LIHGCB_00030		Chaperonin GroEL	SO:0001217, UniRef:UniRef50_O66200
contig_1	cds	40344	41168	-	LIHGCB_00031		hypothetical protein	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	cds	41165	41776	-	LIHGCB_00032		DUF1361 domain-containing protein	SO:0001217, UniRef:UniRef50_S6A470
contig_1	cds	41877	42833	-	LIHGCB_00033		hypothetical protein	
contig_1	cds	43031	43747	+	LIHGCB_00034	znuC	High-affinity zinc uptake system ATP-binding protein ZnuC	SO:0001217, UniRef:UniRef50_A0A0P8YVX4
contig_1	cds	43747	44547	+	LIHGCB_00035		hypothetical protein	
contig_1	cds	44656	45651	-	LIHGCB_00036		hypothetical protein	PFAM:PF00389.36, PFAM:PF02826.25
contig_1	cds	45748	46800	-	LIHGCB_00037	pfoR	putative regulatory protein PfoR	SO:0001217, UniRef:UniRef50_F7XRN0
contig_1	cds	47061	49478	+	LIHGCB_00038		putative methyl-accepting chemotaxis protein	SO:0001217, UniRef:UniRef50_F7XRN2
contig_1	cds	49599	50531	+	LIHGCB_00039		hypothetical protein	PFAM:PF01476.26
contig_1	cds	50635	52644	+	LIHGCB_00040		Soluble lytic transglycosylase, putative	SO:0001217, UniRef:UniRef50_O83083
contig_1	cds	52684	54576	+	LIHGCB_00041		hypothetical protein	PFAM:PF13932.14
contig_1	cds	54632	55531	-	LIHGCB_00042		Putative adenosine/adenine deaminase	SO:0001217, UniRef:UniRef50_O83085
contig_1	cds	55893	56594	-	LIHGCB_00043		hypothetical protein	
contig_1	cds	56612	57133	-	LIHGCB_00044		hypothetical protein	
contig_1	cds	57139	57570	-	LIHGCB_00045		hypothetical protein	PFAM:PF04519.19
contig_1	cds	57592	58683	-	LIHGCB_00046		Peptidase M23 domain-containing protein	SO:0001217, UniRef:UniRef50_M2BV55
contig_1	cds	58914	59522	-	LIHGCB_00047		hypothetical protein	PFAM:PF00156.33
contig_1	cds	59674	60729	+	LIHGCB_00048		Peptide chain release factor 1	SO:0001217, UniRef:UniRef50_B8IUB4
contig_1	cds	60699	61766	+	LIHGCB_00049		hypothetical protein	PFAM:PF17827.6
contig_1	cds	61836	62891	-	LIHGCB_00050		Ribonucleoside-diphosphate reductase subunit beta	SO:0001217, UniRef:UniRef50_O83092
contig_1	cds	63062	64021	+	LIHGCB_00051		hypothetical protein	PFAM:PF08032.17
contig_1	cds	64228	64464	+	LIHGCB_00052		hypothetical protein	
contig_1	cds	64461	66242	+	LIHGCB_00053		Pyruvate carboxylase subunit B	SO:0001217, UniRef:UniRef50_E4PIM0
contig_1	cds	66254	67663	+	LIHGCB_00054		Oxaloacetate decarboxylase beta chain	SO:0001217, UniRef:UniRef50_R4YUT1
contig_1	cds	67738	69054	-	LIHGCB_00055	dnaB	Replicative DNA helicase DnaB	SO:0001217, UniRef:UniRef50_O83097
contig_1	cds	69271	69741	-	LIHGCB_00056		hypothetical protein	PFAM:PF01281.25, PFAM:PF03948.19
contig_1	cds	69847	70146	-	LIHGCB_00057		Small ribosomal subunit protein bS18	SO:0001217, UniRef:UniRef50_B5RLI7
contig_1	cds	70263	70793	-	LIHGCB_00058		Single-stranded DNA-binding protein	SO:0001217, UniRef:UniRef50_O83101
contig_1	cds	70802	71083	-	LIHGCB_00059		hypothetical protein	PFAM:PF01250.22
contig_1	cds	71366	71800	+	LIHGCB_00060		hypothetical protein	
contig_1	cds	71856	72401	+	LIHGCB_00061	rsmD	16S rRNA (Guanine(966)-N(2))-methyltransferase RsmD	SO:0001217, UniRef:UniRef50_A0A0B7H1B9
contig_1	cds	72455	72760	+	LIHGCB_00062		TPR domain protein	SO:0001217, UniRef:UniRef50_Q73KZ5
contig_1	cds	72781	73929	+	LIHGCB_00063		UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY	SO:0001217, UniRef:UniRef50_M2BGF1
contig_1	cds	74110	75132	+	LIHGCB_00064		hypothetical protein	PFAM:PF04055.27, PFAM:PF21016.3
contig_1	cds	75188	75571	-	LIHGCB_00065		hypothetical protein	
contig_1	cds	75568	75954	-	LIHGCB_00066		hypothetical protein	
contig_1	cds	76005	78641	-	LIHGCB_00067	clpB	Chaperone protein ClpB	SO:0001217, UniRef:UniRef50_A0A1L8N1Q2
contig_1	cds	78845	79117	+	LIHGCB_00068		hypothetical protein	PFAM:PF00462.30
contig_1	cds	79187	80677	-	LIHGCB_00069		Uncharacterized protein TP_0073	SO:0001217, UniRef:UniRef50_O83112
contig_1	cds	81033	82442	+	LIHGCB_00070		Sugar ABC superfamily ATP binding cassette transporter, binding protein	SO:0001217, UniRef:UniRef50_F7XRR7
contig_1	cds	82572	83450	+	LIHGCB_00071		hypothetical protein	
contig_1	cds	83490	84320	+	LIHGCB_00072		Sugar ABC superfamily ATP binding cassette transporter, membrane protein	SO:0001217, UniRef:UniRef50_F7XRR9
contig_1	cds	84467	85969	+	LIHGCB_00073	capD	Capsular polysaccharide biosynthesis protein CapD	SO:0001217, UniRef:UniRef50_F7XRS0
contig_1	cds	85974	87212	+	LIHGCB_00074		UDP-4-keto-6-deoxy-N-acetylglucosamine 4-aminotransferase	SO:0001217, UniRef:UniRef50_S3KF66
contig_1	cds	87209	89362	+	LIHGCB_00075		hypothetical protein	PFAM:PF02738.23
contig_1	cds	89359	89826	+	LIHGCB_00076		hypothetical protein	PFAM:PF01799.25
contig_1	cds	89833	90681	+	LIHGCB_00077		hypothetical protein	PFAM:PF00941.27
contig_1	cds	90728	92314	-	LIHGCB_00078		Sigma-54 factor interaction domain-containing protein	SO:0001217, UniRef:UniRef50_M2BBM0
contig_1	cds	92465	94459	+	LIHGCB_00079		DUF4015 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A0B7GS70
contig_1	cds	94539	94772	-	LIHGCB_00080		hypothetical protein	
contig_1	cds	94884	95330	-	LIHGCB_00081		PTS EIIA type-2 domain-containing protein	SO:0001217, UniRef:UniRef50_S3KHH6
contig_1	cds	95447	96355	+	LIHGCB_00082	pilZ	PilZ domain-containing protein	SO:0001217, UniRef:UniRef50_O83124
contig_1	cds	96358	96744	-	LIHGCB_00083		hypothetical protein	
contig_1	cds	96881	97495	-	LIHGCB_00084		hypothetical protein	
contig_1	cds	97525	98760	-	LIHGCB_00085		Cyclic nucleotide-binding domain-containing protein	SO:0001217, UniRef:UniRef50_M2BUH9
contig_1	cds	98843	99907	-	LIHGCB_00086		UDP-N-acetylenolpyruvoylglucosamine reductase	SO:0001217, UniRef:UniRef50_O83128
contig_1	cds	100089	101651	+	LIHGCB_00087		Cysteine--tRNA ligase	SO:0001217, UniRef:UniRef50_O83129
contig_1	cds	101671	102210	+	LIHGCB_00088		RNA polymerase sigma-24 factor (RpoE)	SO:0001217, UniRef:UniRef50_O83130
contig_1	cds	102194	102841	+	LIHGCB_00089		hypothetical protein	PFAM:PF13490.11
contig_1	cds	102979	103989	+	LIHGCB_00090		Phosphate acetyltransferase	SO:0001217, UniRef:UniRef50_Q73RP3
contig_1	cds	103989	105935	+	LIHGCB_00091		TPR repeat-containing protein TP_0095	SO:0001217, UniRef:UniRef50_O83133
contig_1	cds	106009	106371	-	LIHGCB_00092	dnaK	DnaK suppressor, putative	SO:0001217, UniRef:UniRef50_O83134
contig_1	cds	106541	106759	+	LIHGCB_00093		Translation initiation factor IF-1	SO:0001217, UniRef:UniRef50_A0A0N1BL88
contig_1	cds	106812	107468	-	LIHGCB_00094	dnaJ	Chaperone DnaJ	SO:0001217, UniRef:UniRef50_F7XRB1
contig_1	cds	107472	108227	-	LIHGCB_00095		Uridylate kinase	SO:0001217, UniRef:UniRef50_F7XRU2
contig_1	cds	108422	109024	+	LIHGCB_00096		hypothetical protein	PFAM:PF00085.26, PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13098.12, PFAM:PF13905.12
contig_1	cds	109017	109811	+	LIHGCB_00097		hypothetical protein	PFAM:PF02683.22
contig_1	cds	109849	111822	-	LIHGCB_00098		DNA 3'-5' helicase	SO:0001217, UniRef:UniRef50_H7EMN1
contig_1	cds	111887	113251	+	LIHGCB_00099		hypothetical protein	PFAM:PF00270.35, PFAM:PF00271.37
contig_1	cds	113299	113709	+	LIHGCB_00100		hypothetical protein	
contig_1	cds	113956	115584	+	LIHGCB_00101		NAD 5'-nucleotidase	SO:0001217, UniRef:UniRef50_P44569
contig_1	cds	115750	118743	+	LIHGCB_00102		DNA polymerase I	SO:0001217, UniRef:UniRef50_P74933
contig_1	cds	118775	120307	-	LIHGCB_00103		BCCT family transporter	SO:0001217, UniRef:UniRef50_A0A0J1J4P3
contig_1	cds	120288	122099	-	LIHGCB_00104		putative bifunctional choline-phosphate cytidylyltransferase/choline kinase	SO:0001217, UniRef:UniRef50_F7XRU8
contig_1	cds	122219	123604	-	LIHGCB_00105		ATP-dependent 6-phosphofructokinase	SO:0001217, UniRef:UniRef50_A0A929HXF6
contig_1	cds	123706	124584	-	LIHGCB_00106		putative rRNA (Adenosine-2'-O-)-methyltransferase	SO:0001217, UniRef:UniRef50_F7XRU9
contig_1	tRNA	124844	124914	+	LIHGCB_00107	trnQ	tRNA-Gln(ctg)	SO:0000261
contig_1	tRNA	124924	124995	+	LIHGCB_00108	trnE	tRNA-Glu(ttc)	SO:0000259
contig_1	tRNA	125032	125103	+	LIHGCB_00109	trnE	tRNA-Glu(ctc)	SO:0000259
contig_1	cds	125146	126858	+	LIHGCB_00110		Uncharacterized protein TP_0110	SO:0001217, UniRef:UniRef50_O83148
contig_1	cds	126918	128345	+	LIHGCB_00111		RNA polymerase sigma-54 factor	SO:0001217, UniRef:UniRef50_O83149
contig_1	cds	128342	129694	-	LIHGCB_00112		Aminopeptidase	SO:0001217, UniRef:UniRef50_F4BNA1
contig_1	cds	129836	130822	+	LIHGCB_00113		hypothetical protein	
contig_1	cds	130827	131822	+	LIHGCB_00114	hflC	Protein HflC	SO:0001217, UniRef:UniRef50_O83152
contig_1	cds	131847	132656	-	LIHGCB_00115		Putative pyridoxine kinase	SO:0001217, UniRef:UniRef50_O83153
contig_1	cds	132781	134814	+	LIHGCB_00116		UvrABC system protein B	SO:0001217, UniRef:UniRef50_Q03AL7
contig_1	cds	134846	136093	-	LIHGCB_00117		hypothetical protein	PFAM:PF02722.21
contig_1	cds	136047	136637	-	LIHGCB_00118		hypothetical protein	
contig_1	cds	136716	137981	-	LIHGCB_00119		hypothetical protein	
contig_1	cds	138079	138738	-	LIHGCB_00120		Methionine ABC superfamily ATP binding cassette transporter, membrane protein	SO:0001217, UniRef:UniRef50_A0A090HWK7
contig_1	cds	138738	139547	-	LIHGCB_00121		Methionine transport system ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A388T721
contig_1	cds	139670	140746	+	LIHGCB_00122		Putative L-lysine 2,3-aminomutase	SO:0001217, UniRef:UniRef50_O83158
contig_1	cds	140965	142821	-	LIHGCB_00123		Phosphoenolpyruvate carboxykinase [GTP]	SO:0001217, UniRef:UniRef50_A0A5C6DH39
contig_1	cds	142954	145497	+	LIHGCB_00124		TPR repeat-containing protein TP_0123	SO:0001217, UniRef:UniRef50_O83160
contig_1	cds	145511	146617	+	LIHGCB_00125	ychF	Ribosome-binding ATPase YchF	SO:0001217, UniRef:UniRef50_P37518
contig_1	cds	146694	147488	+	LIHGCB_00126		Exodeoxyribonuclease III	SO:0001217, UniRef:UniRef50_E5FNS8
contig_1	cds	147552	148223	-	LIHGCB_00127		hypothetical protein	
contig_1	cds	148277	148915	-	LIHGCB_00128		hypothetical protein	
contig_1	cds	148997	149266	+	LIHGCB_00129		hypothetical protein	
contig_1	cds	149144	149602	-	LIHGCB_00130		hypothetical protein	PFAM:PF02722.21
contig_1	cds	149625	150092	-	LIHGCB_00131		hypothetical protein	
contig_1	cds	150800	152047	-	LIHGCB_00132		hypothetical protein	PFAM:PF02722.21
contig_1	cds	152001	152591	-	LIHGCB_00133		hypothetical protein	
contig_1	cds	152831	154093	-	LIHGCB_00134		Uncharacterized lipoprotein TP_0134	SO:0001217, UniRef:UniRef50_O83170
contig_1	cds	154280	155011	+	LIHGCB_00135		Outer membrane protein beta-barrel domain-containing protein	SO:0001217, UniRef:UniRef50_F7XRX5
contig_1	tRNA	155160	155232	+	LIHGCB_00136	trnV	tRNA-Val(tac)	SO:0000273
contig_1	cds	155468	156682	+	LIHGCB_00137		Uncharacterized lipoprotein TP_0134	SO:0001217, UniRef:UniRef50_O83170
contig_1	cds	157097	157777	-	LIHGCB_00138		Uncharacterized protein TP_0138	SO:0001217, UniRef:UniRef50_O83174
contig_1	cds	157842	158534	-	LIHGCB_00139	trkA	TrkA family potassium uptake protein	SO:0001217, UniRef:UniRef50_M2BKL1
contig_1	cds	158574	160292	-	LIHGCB_00140		K+ transport protein (NtpJ)	SO:0001217, UniRef:UniRef50_O83176
contig_1	cds	160472	161005	+	LIHGCB_00141		hypothetical protein	PFAM:PF01035.26
contig_1	cds	160956	161618	-	LIHGCB_00142		ABC transporter domain-containing protein	SO:0001217, UniRef:UniRef50_M2ARP1
contig_1	cds	161611	163353	-	LIHGCB_00143		Thiamine ABC transporter, permease protein, putative	SO:0001217, UniRef:UniRef50_O83179
contig_1	cds	163350	164357	-	LIHGCB_00144		hypothetical protein	
contig_1	cds	164467	166437	+	LIHGCB_00145		Long-chain-fatty-acid--CoA ligase	SO:0001217, UniRef:UniRef50_F7XRY5
contig_1	tRNA	166511	166592	-	LIHGCB_00146	trnL	tRNA-Leu(gag)	SO:0000264
contig_1	cds	166777	167256	+	LIHGCB_00147		hypothetical protein	
contig_1	cds	167253	167564	+	LIHGCB_00148		hypothetical protein	
contig_1	cds	167528	167830	+	LIHGCB_00149		hypothetical protein	
contig_1	cds	167840	169699	-	LIHGCB_00150		Alpha-amylase 1, putative	SO:0001217, UniRef:UniRef50_O83182
contig_1	cds	169696	170271	-	LIHGCB_00151		hypothetical protein	
contig_1	cds	170268	170861	-	LIHGCB_00152		hypothetical protein	
contig_1	cds	170854	171321	-	LIHGCB_00153		hypothetical protein	
contig_1	cds	171305	172324	-	LIHGCB_00154		hypothetical protein	
contig_1	cds	172311	173795	-	LIHGCB_00155	rnfC	putative NADH dehydrogenase (Ubiquinone), subunit RnfC	SO:0001217, UniRef:UniRef50_F7XRZ1
contig_1	cds	173931	174422	-	LIHGCB_00156		Divergent PAP2 family protein	SO:0001217, UniRef:UniRef50_Q73MW8
contig_1	cds	174584	175684	+	LIHGCB_00157		Pseudouridylate synthase	SO:0001217, UniRef:UniRef50_F7XRZ3
contig_1	cds	175690	176805	+	LIHGCB_00158	lysM	LysM domain-containing protein	SO:0001217, UniRef:UniRef50_O83190
contig_1	cds	176847	177251	-	LIHGCB_00159		Thioesterase family protein	SO:0001217, UniRef:UniRef50_Q73KJ3
contig_1	cds	177248	178150	-	LIHGCB_00160		hypothetical protein	
contig_1	cds	178147	178812	-	LIHGCB_00161		Pyrimidine 5'-nucleotidase	SO:0001217, UniRef:UniRef50_O83193
contig_1	cds	178837	179865	-	LIHGCB_00162		hypothetical protein	
contig_1	cds	179981	181840	-	LIHGCB_00163		Proline--tRNA ligase	SO:0001217, UniRef:UniRef50_Q73KJ8
contig_1	cds	181946	182998	-	LIHGCB_00164	ruvB	Holliday junction branch migration complex subunit RuvB	SO:0001217, UniRef:UniRef50_P70828
contig_1	cds	183174	184100	+	LIHGCB_00165	troA	transition metal ABC transporter substrate-binding protein TroA	BlastRules:WP_010881610, SO:0001217, UniRef:UniRef50_P96116
contig_1	cds	184248	185048	+	LIHGCB_00166	troB	transition metal ABC transporter ATP-binding protein TroB	BlastRules:WP_010881611, SO:0001217, UniRef:UniRef50_F4BNH0
contig_1	cds	185020	185916	+	LIHGCB_00167	troC	transition metal ABC transporter permease subunit TroC	BlastRules:WP_010881612, SO:0001217, UniRef:UniRef50_A0A0E2EJU4
contig_1	cds	185920	187023	+	LIHGCB_00168	troD	transition metal ABC transporter permease subunit TroD	BlastRules:WP_014342310, SO:0001217, UniRef:UniRef50_P96119
contig_1	cds	187033	187494	+	LIHGCB_00169	troR	manganese/iron-sensitive transcriptional repressor TroR	BlastRules:WP_010881614
contig_1	cds	187574	188329	+	LIHGCB_00170		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	SO:0001217, UniRef:UniRef50_C0QV47
contig_1	tRNA	188455	188527	+	LIHGCB_00171	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	cds	188648	189457	+	LIHGCB_00172		5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	SO:0001217, UniRef:UniRef50_P96122
contig_1	cds	189556	189984	+	LIHGCB_00173		15 kDa lipoprotein	SO:0001217, UniRef:UniRef50_P16055
contig_1	cds	189974	191341	-	LIHGCB_00174		hypothetical protein	
contig_1	cds	191349	192869	-	LIHGCB_00175		hypothetical protein	
contig_1	cds	192866	194194	-	LIHGCB_00176		hypothetical protein	
contig_1	cds	194269	195195	-	LIHGCB_00177		hypothetical protein	
contig_1	cds	195195	197078	-	LIHGCB_00178		Uncharacterized protein TP_0179	SO:0001217, UniRef:UniRef50_O83209
contig_1	cds	197172	197615	+	LIHGCB_00179		hypothetical protein	PFAM:PF04977.20
contig_1	cds	197596	198234	+	LIHGCB_00180		hypothetical protein	
contig_1	cds	198237	199082	-	LIHGCB_00181		hypothetical protein	
contig_1	cds	199087	199551	-	LIHGCB_00182		SsrA-binding protein	SO:0001217, UniRef:UniRef50_O83214
contig_1	cds	199639	200346	+	LIHGCB_00183		hypothetical protein	PFAM:PF10502.14
contig_1	cds	200365	201582	+	LIHGCB_00184		Coproporphyrinogen dehydrogenase	SO:0001217, UniRef:UniRef50_F7XS16
contig_1	cds	201946	203133	+	LIHGCB_00185		Elongation factor Tu	SO:0001217, UniRef:UniRef50_P43926
contig_1	cds	203205	203513	+	LIHGCB_00186		Small ribosomal subunit protein uS10	SO:0001217, UniRef:UniRef50_Q2LQA2
contig_1	cds	203560	204186	+	LIHGCB_00187		Large ribosomal subunit protein uL3	SO:0001217, UniRef:UniRef50_S3LPB9
contig_1	cds	204176	204850	+	LIHGCB_00188		Large ribosomal subunit protein uL4	SO:0001217, UniRef:UniRef50_P94268
contig_1	cds	204837	205121	+	LIHGCB_00189		hypothetical protein	
contig_1	cds	205177	205998	+	LIHGCB_00190		Large ribosomal subunit protein uL2	SO:0001217, UniRef:UniRef50_P60405
contig_1	cds	206008	206295	+	LIHGCB_00191		Small ribosomal subunit protein uS19	SO:0001217, UniRef:UniRef50_P94271
contig_1	cds	206304	206678	+	LIHGCB_00192		Large ribosomal subunit protein uL22	SO:0001217, UniRef:UniRef50_O83224
contig_1	cds	206662	207405	+	LIHGCB_00193		Small ribosomal subunit protein uS3	SO:0001217, UniRef:UniRef50_O83225
contig_1	cds	207409	207828	+	LIHGCB_00194		Large ribosomal subunit protein uL16	SO:0001217, UniRef:UniRef50_A0A355UQN7
contig_1	cds	207843	208061	+	LIHGCB_00195		hypothetical protein	
contig_1	cds	208061	208330	+	LIHGCB_00196		Small ribosomal subunit protein uS17	SO:0001217, UniRef:UniRef50_O83228
contig_1	cds	208343	208711	+	LIHGCB_00197		Large ribosomal subunit protein uL14	SO:0001217, UniRef:UniRef50_O83229
contig_1	cds	208723	209034	+	LIHGCB_00198		Large ribosomal subunit protein uL24	SO:0001217, UniRef:UniRef50_O83230
contig_1	cds	209031	209588	+	LIHGCB_00199		Large ribosomal subunit protein uL5	SO:0001217, UniRef:UniRef50_Q8DS25
contig_1	cds	209801	210199	+	LIHGCB_00200		Small ribosomal subunit protein uS8	SO:0001217, UniRef:UniRef50_O51445
contig_1	cds	210209	210748	+	LIHGCB_00201		Large ribosomal subunit protein uL6	SO:0001217, UniRef:UniRef50_O83234
contig_1	cds	210757	211119	+	LIHGCB_00202		Large ribosomal subunit protein uL18	SO:0001217, UniRef:UniRef50_Q73PL6
contig_1	cds	211128	211646	+	LIHGCB_00203		Small ribosomal subunit protein uS5	SO:0001217, UniRef:UniRef50_A0A7X7RJ92
contig_1	cds	211649	211834	+	LIHGCB_00204		Large ribosomal subunit protein uL30	SO:0001217, UniRef:UniRef50_E4RQR2
contig_1	cds	211834	212295	+	LIHGCB_00205		Large ribosomal subunit protein uL15	SO:0001217, UniRef:UniRef50_Q6AP51
contig_1	cds	212303	213622	+	LIHGCB_00206		hypothetical protein	
contig_1	cds	213661	213774	+	LIHGCB_00207		hypothetical protein	PFAM:PF00444.23
contig_1	cds	213790	214155	+	LIHGCB_00208		Small ribosomal subunit protein uS13	SO:0001217, UniRef:UniRef50_Q8DML1
contig_1	cds	214174	214554	+	LIHGCB_00209		Small ribosomal subunit protein uS11	SO:0001217, UniRef:UniRef50_O66485
contig_1	cds	214569	215624	+	LIHGCB_00210		DNA-directed RNA polymerase subunit alpha	SO:0001217, UniRef:UniRef50_G0G9S3
contig_1	cds	215614	216108	+	LIHGCB_00211		hypothetical protein	
contig_1	cds	216132	216329	+	LIHGCB_00212		hypothetical protein	
contig_1	cds	216514	217197	+	LIHGCB_00213		hypothetical protein	
contig_1	cds	217313	219220	+	LIHGCB_00214	dnaK	Chaperone protein DnaK	SO:0001217, UniRef:UniRef50_Q2JI64
contig_1	cds	219389	220591	+	LIHGCB_00215	dnaJ	Chaperone protein DnaJ	SO:0001217, UniRef:UniRef50_Q73Q15
contig_1	cds	220768	222237	+	LIHGCB_00216		hypothetical protein	
contig_1	cds	222241	224388	+	LIHGCB_00217		hypothetical protein	
contig_1	cds	224417	224575	+	LIHGCB_00218		hypothetical protein	
contig_1	cds	224572	224748	+	LIHGCB_00219		hypothetical protein	PFAM:PF01740.26
contig_1	cds	224735	225532	+	LIHGCB_00220		hypothetical protein	
contig_1	cds	225542	225988	+	LIHGCB_00221		Uncharacterized protein TP_0222	SO:0001217, UniRef:UniRef50_O83251
contig_1	cds	226125	227564	+	LIHGCB_00222		hypothetical protein	PFAM:PF00155.27
contig_1	cds	227598	227708	+	LIHGCB_00223		hypothetical protein	
contig_1	cds	227754	228494	+	LIHGCB_00224		hypothetical protein	PFAM:PF13306.12
contig_1	cds	228538	228645	+	LIHGCB_00225		hypothetical protein	
contig_1	rRNA	228678	230226	+	LIHGCB_00226	rrs	16S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01977, RFAM:RF00177, SO:0001000
contig_1	tRNA	230339	230412	+	LIHGCB_00227	trnI	tRNA-Ile(gat)	SO:0000263
contig_1	rRNA	230522	233474	+	LIHGCB_00228	rrl	23S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01980, RFAM:RF02541, SO:0001001
contig_1	rRNA	233523	233633	+	LIHGCB_00229	rrf	5S ribosomal RNA	GO:0003735, GO:0005840, KEGG:K01985, RFAM:RF00001, SO:0000652
contig_1	cds	233647	234333	-	LIHGCB_00230		Uncharacterized protein TP_0226	SO:0001217, UniRef:UniRef50_O83254
contig_1	cds	234386	235153	-	LIHGCB_00231		Cobalt ABC transporter, ATP-binding protein	SO:0001217, UniRef:UniRef50_O83255
contig_1	cds	235220	235798	-	LIHGCB_00232		hypothetical protein	
contig_1	cds	236000	236812	+	LIHGCB_00233		hypothetical protein	PFAM:PF03167.24
contig_1	cds	236817	238790	+	LIHGCB_00234		Primosomal protein N'	SO:0001217, UniRef:UniRef50_O83258
contig_1	cds	238891	239541	+	LIHGCB_00235		hypothetical protein	
contig_1	cds	239788	240333	+	LIHGCB_00236		Anti-sigma factor antagonist	SO:0001217, UniRef:UniRef50_A0A1V5WKF9
contig_1	tRNA	240468	240540	+	LIHGCB_00237	trnT	tRNA-Thr(ggt)	SO:0000270
contig_1	cds	240569	240739	+	LIHGCB_00238		Large ribosomal subunit protein bL33	SO:0001217, UniRef:UniRef50_O83262
contig_1	tRNA	240794	240866	+	LIHGCB_00239	trnW	tRNA-Trp(cca)	SO:0000271
contig_1	cds	240889	241068	+	LIHGCB_00240		hypothetical protein	
