#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	75566	75952	-	OBIBPL_00066	13.6	6.2		
contig_1	78843	79115	+	OBIBPL_00068	10.1	6.1	PF00462.30|Glutaredoxin	PFAM:PF00462.30
contig_1	82570	83448	+	OBIBPL_00071	32.5	9.9		
contig_1	87207	89360	+	OBIBPL_00075	78.9	6.5	PF02738.23|MoCoBD_1	PFAM:PF02738.23
contig_1	89357	89824	+	OBIBPL_00076	17.5	7.7	PF01799.25|Fer2_2	PFAM:PF01799.25
contig_1	89831	90679	+	OBIBPL_00077	31.6	9.6	PF00941.27|FAD_binding_5	PFAM:PF00941.27
contig_1	94537	94770	-	OBIBPL_00080	8.3	4.2		
contig_1	96355	96741	-	OBIBPL_00083	14.5	11.0		
contig_1	96878	97492	-	OBIBPL_00084	23.2	9.4		
contig_1	102191	102838	+	OBIBPL_00089	23.3	9.5	PF13490.11|zf-HC2	PFAM:PF13490.11
contig_1	108419	109021	+	OBIBPL_00096	22.1	9.0	PF00085.26|Thioredoxin, PF00578.27|AhpC-TSA, PF08534.16|Redoxin, PF13098.12|Thioredoxin_2, PF13905.12|Thioredoxin_8	PFAM:PF00085.26, PFAM:PF00578.27, PFAM:PF08534.16, PFAM:PF13098.12, PFAM:PF13905.12
contig_1	109014	109808	+	OBIBPL_00097	28.3	11.1	PF02683.22|DsbD_TM	PFAM:PF02683.22
contig_1	111884	112579	+	OBIBPL_00099	25.4	7.1	PF00270.35|DEAD	PFAM:PF00270.35
contig_1	112603	113247	+	OBIBPL_00100	24.5	9.5	PF00270.35|DEAD, PF00271.37|Helicase_C	PFAM:PF00270.35, PFAM:PF00271.37
contig_1	113295	113705	+	OBIBPL_00101	15.3	9.2		
contig_1	129832	130818	+	OBIBPL_00114	36.9	9.1		
contig_1	134842	136089	-	OBIBPL_00118	46.2	6.8	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	136043	136633	-	OBIBPL_00119	21.5	10.1		
contig_1	136712	137977	-	OBIBPL_00120	46.8	6.4		
contig_1	147549	148220	-	OBIBPL_00128	24.6	8.5		
contig_1	148274	148912	-	OBIBPL_00129	22.4	8.8		
contig_1	148994	149263	+	OBIBPL_00130	9.8	7.6		
contig_1	149141	149749	-	OBIBPL_00131	21.9	6.6	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	151493	151960	-	OBIBPL_00133	16.4	10.5		
contig_1	152668	153915	-	OBIBPL_00134	46.2	6.8	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	153869	154459	-	OBIBPL_00135	21.5	10.1		
contig_1	162295	162828	+	OBIBPL_00143	19.4	9.2	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	165173	166180	-	OBIBPL_00146	36.9	6.6		
contig_1	168600	168767	+	OBIBPL_00149	6.2	8.9		
contig_1	168767	169066	+	OBIBPL_00150	10.9	11.4		
contig_1	169063	169374	+	OBIBPL_00151	11.1	4.9		
contig_1	169371	169640	+	OBIBPL_00152	9.7	10.5		
contig_1	171506	172081	-	OBIBPL_00154	21.0	8.6		
contig_1	172081	172671	-	OBIBPL_00155	21.3	8.5		
contig_1	172664	173131	-	OBIBPL_00156	17.4	9.6		
contig_1	173115	174134	-	OBIBPL_00157	36.9	8.8		
contig_1	179058	179960	-	OBIBPL_00163	34.5	6.9		
contig_1	180647	181675	-	OBIBPL_00165	39.2	8.9		
contig_1	191784	193151	-	OBIBPL_00177	50.3	5.9		
contig_1	193159	194679	-	OBIBPL_00178	57.5	9.0		
contig_1	194676	196004	-	OBIBPL_00179	50.3	9.2		
contig_1	196079	197005	-	OBIBPL_00180	34.6	5.7		
contig_1	198981	199424	+	OBIBPL_00182	16.5	8.8	PF04977.20|DivIC	PFAM:PF04977.20
contig_1	199405	200043	+	OBIBPL_00183	22.7	8.9		
contig_1	200046	200891	-	OBIBPL_00184	31.1	9.4		
contig_1	201448	202155	+	OBIBPL_00186	26.9	9.6	PF10502.14|Peptidase_S26	PFAM:PF10502.14
contig_1	206646	206930	+	OBIBPL_00192	10.5	11.8		
contig_1	209652	209870	+	OBIBPL_00198	8.8	10.1		
contig_1	214112	215431	+	OBIBPL_00209	48.9	10.4		
contig_1	215470	215583	+	OBIBPL_00210	4.3	10.7	PF00444.23|Ribosomal_L36	PFAM:PF00444.23
contig_1	217423	217917	+	OBIBPL_00214	18.7	11.2		
contig_1	217941	218138	+	OBIBPL_00215	7.0	11.0		
contig_1	218323	219006	+	OBIBPL_00216	25.0	5.0		
contig_1	222577	224046	+	OBIBPL_00219	56.2	6.8		
contig_1	224050	226197	+	OBIBPL_00220	81.4	8.5		
contig_1	226226	226384	+	OBIBPL_00221	5.9	9.1		
contig_1	226381	226557	+	OBIBPL_00222	6.5	4.9	PF01740.26|STAS	PFAM:PF01740.26
contig_1	226544	227341	+	OBIBPL_00223	30.1	9.5		
contig_1	227934	229373	+	OBIBPL_00225	51.8	5.6	PF00155.27|Aminotran_1_2	PFAM:PF00155.27
contig_1	229563	230303	+	OBIBPL_00226	26.7	9.2	PF13306.12|LRR_5	PFAM:PF13306.12
contig_1	230347	230454	+	OBIBPL_00227	3.7	10.6		
contig_1	237039	237617	-	OBIBPL_00234	20.0	11.2		
contig_1	237819	238631	+	OBIBPL_00235	29.9	8.8	PF03167.24|UDG	PFAM:PF03167.24
contig_1	240710	241360	+	OBIBPL_00237	23.8	10.6		
contig_1	242708	242887	+	OBIBPL_00242	6.8	10.9		
contig_1	258196	260148	+	OBIBPL_00253	75.8	8.8	PF00092.34|VWA	PFAM:PF00092.34
contig_1	261269	261742	+	OBIBPL_00255	17.4	8.7		
contig_1	263305	263622	+	OBIBPL_00258	11.7	10.7	PF00216.26|Bac_DNA_binding, PF18291.6|HU-HIG	PFAM:PF00216.26, PFAM:PF18291.6
contig_1	263612	265252	+	OBIBPL_00259	61.5	8.7	PF20154.4|LNT_N	PFAM:PF20154.4
contig_1	265243	265656	+	OBIBPL_00260	14.9	9.5	PF04519.19|Bactofilin	PFAM:PF04519.19
contig_1	267819	268469	+	OBIBPL_00263	24.6	9.4		
contig_1	271225	272505	-	OBIBPL_00267	48.5	6.6	PF08239.17|SH3_3	PFAM:PF08239.17
contig_1	278709	278798	+	OBIBPL_00274	3.4	7.7		
contig_1	278744	278851	+	OBIBPL_00275	3.7	10.6		
contig_1	284922	286370	+	OBIBPL_00282	53.1	9.3	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_1	289732	290523	+	OBIBPL_00286	29.7	9.0		
contig_1	291878	292762	-	OBIBPL_00289	32.9	8.9	PF04452.19|Methyltrans_RNA, PF20260.4|PUA_4	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	297445	298164	+	OBIBPL_00292	26.3	9.9	PF07719.23|TPR_2, PF13424.12|TPR_12, PF13432.12|TPR_16	PFAM:PF07719.23, PFAM:PF13424.12, PFAM:PF13432.12
contig_1	298261	298821	+	OBIBPL_00293	20.6	8.6	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_1	301533	304106	+	OBIBPL_00296	95.6	6.4	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12
contig_1	304161	304994	+	OBIBPL_00297	30.9	6.1	PF00702.32|Hydrolase, PF08282.18|Hydrolase_3	PFAM:PF00702.32, PFAM:PF08282.18
contig_1	309936	310571	+	OBIBPL_00302	23.5	9.9	PF01121.26|CoaE	PFAM:PF01121.26
contig_1	310574	311347	+	OBIBPL_00303	28.2	10.2	PF05036.18|SPOR	PFAM:PF05036.18
contig_1	314265	315398	+	OBIBPL_00306	40.9	9.8		
contig_1	316317	318263	-	OBIBPL_00308	71.2	8.1	PF02518.31|HATPase_c, PF08676.16|MutL_C, PF13589.12|HATPase_c_3	PFAM:PF02518.31, PFAM:PF08676.16, PFAM:PF13589.12
contig_1	323917	324945	+	OBIBPL_00312	37.1	6.0	PF03793.24|PASTA	PFAM:PF03793.24
contig_1	326792	327154	+	OBIBPL_00315	13.4	8.2	PF00436.31|SSB	PFAM:PF00436.31
contig_1	328419	328715	-	OBIBPL_00317	10.7	11.2		
contig_1	328858	330600	+	OBIBPL_00318	62.8	7.6	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	331116	331583	+	OBIBPL_00319	16.8	5.3		
contig_1	331602	331748	+	OBIBPL_00320	5.1	10.1		
contig_1	333422	334537	+	OBIBPL_00322	39.2	9.9		
contig_1	334534	335484	+	OBIBPL_00323	33.9	9.0		
contig_1	353260	353724	-	OBIBPL_00334	16.5	9.4		
contig_1	355323	356180	+	OBIBPL_00336	32.3	9.6	PF00398.26|RrnaAD	PFAM:PF00398.26
contig_1	356198	356686	+	OBIBPL_00337	18.4	4.7		
contig_1	362128	365574	-	OBIBPL_00343	130.9	6.4	PF00270.35|DEAD, PF00271.37|Helicase_C, PF02559.22|CarD_TRCF_RID, PF03461.20|TRCF, PF17757.6|UvrB_inter	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF02559.22, PFAM:PF03461.20, PFAM:PF17757.6
contig_1	367754	368464	+	OBIBPL_00346	25.5	8.8	PF10895.14|DUF2715	PFAM:PF10895.14, SO:0001217, UniRef:UniRef50_O83367
contig_1	368484	369599	-	OBIBPL_00347	40.3	10.2		SO:0001217, UniRef:UniRef50_F7XSG0
contig_1	369578	370108	-	OBIBPL_00348	18.5	4.3	PF00254.34|FKBP_C	PFAM:PF00254.34
contig_1	370321	371607	+	OBIBPL_00349	46.6	7.7		
contig_1	373653	374279	+	OBIBPL_00353	23.9	6.3	PF01712.25|dNK, PF02223.23|Thymidylate_kin	PFAM:PF01712.25, PFAM:PF02223.23
contig_1	374355	374645	+	OBIBPL_00354	10.6	10.1		
contig_1	375176	375283	+	OBIBPL_00356	4.1	11.6		
contig_1	375333	375992	+	OBIBPL_00357	23.4	7.9	PF02237.23|BPL_C, PF03099.24|BPL_LplA_LipB	PFAM:PF02237.23, PFAM:PF03099.24
contig_1	375997	377577	-	OBIBPL_00358	59.7	6.3	PF03065.20|Glyco_hydro_57, PF09210.16|BE_C	PFAM:PF03065.20, PFAM:PF09210.16
contig_1	377589	378224	-	OBIBPL_00359	23.9	5.3		
contig_1	382725	384059	+	OBIBPL_00364	49.0	5.2	PF01584.24|CheW, PF01739.24|CheR	PFAM:PF01584.24, PFAM:PF01739.24
contig_1	388121	388456	+	OBIBPL_00368	12.4	5.7		
contig_1	388453	389991	+	OBIBPL_00369	55.6	5.9	PF13525.12|YfiO	PFAM:PF13525.12
contig_1	390059	390322	-	OBIBPL_00370	10.4	4.1		
contig_1	395926	396285	-	OBIBPL_00375	13.2	5.7	PF13309.12|HTH_22	PFAM:PF13309.12
contig_1	397553	398047	+	OBIBPL_00377	18.5	9.5		
contig_1	405480	405854	+	OBIBPL_00383	14.3	10.7		
contig_1	408346	409161	+	OBIBPL_00386	30.6	9.7	PF08478.15|POTRA_1	PFAM:PF08478.15
contig_1	412627	413379	+	OBIBPL_00390	28.8	9.4	PF00515.34|TPR_1, PF03704.23|BTAD, PF07719.23|TPR_2, PF13174.12|TPR_6, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF03704.23, PFAM:PF07719.23, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF14559.12
contig_1	417546	417956	+	OBIBPL_00394	15.6	6.8		
contig_1	421790	422719	+	OBIBPL_00399	35.3	5.1		
contig_1	424119	424571	+	OBIBPL_00401	17.5	10.0	PF02050.21|FliJ	PFAM:PF02050.21
contig_1	424568	425101	-	OBIBPL_00402	19.5	6.4		
contig_1	425323	425565	+	OBIBPL_00403	9.2	9.3		
contig_1	427424	430678	+	OBIBPL_00406	124.1	5.3		SO:0001217, UniRef:UniRef50_F7XSM0
contig_1	430796	431173	+	OBIBPL_00407	13.6	9.9		
contig_1	434256	434561	-	OBIBPL_00410	11.9	9.9		
contig_1	434580	436478	-	OBIBPL_00411	70.1	8.3	PF02878.22|PGM_PMM_I, PF02880.22|PGM_PMM_III	PFAM:PF02878.22, PFAM:PF02880.22
contig_1	437836	438417	-	OBIBPL_00413	21.6	6.2		
contig_1	442648	443400	+	OBIBPL_00417	26.4	6.2	PF01975.23|SurE	PFAM:PF01975.23
contig_1	445644	446612	+	OBIBPL_00419	35.8	9.2		
contig_1	446637	447443	+	OBIBPL_00420	30.0	10.2		
contig_1	447569	448183	+	OBIBPL_00421	22.3	4.7		
contig_1	448183	448728	+	OBIBPL_00422	20.4	6.1		
contig_1	455662	456195	+	OBIBPL_00429	19.1	5.8		
contig_1	462215	463366	+	OBIBPL_00436	41.6	6.3	PF01041.23|DegT_DnrJ_EryC1	PFAM:PF01041.23
contig_1	463420	464280	+	OBIBPL_00437	30.7	8.3	PF01513.26|NAD_kinase, PF20143.4|NAD_kinase_C	PFAM:PF01513.26, PFAM:PF20143.4
contig_1	466796	467824	+	OBIBPL_00440	36.6	10.2	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF23473.1|LysM3_LYK4_5	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF23473.1
contig_1	467960	468589	+	OBIBPL_00441	22.0	5.8	PF01965.30|DJ-1_PfpI	PFAM:PF01965.30
contig_1	472110	472700	+	OBIBPL_00445	22.5	6.6	PF12895.13|ANAPC3, PF13428.12|TPR_14, PF14559.12|TPR_19	PFAM:PF12895.13, PFAM:PF13428.12, PFAM:PF14559.12
contig_1	479479	479829	+	OBIBPL_00449	12.6	8.9	PF13248.11|Zn_ribbon_3	PFAM:PF13248.11
contig_1	479813	480499	-	OBIBPL_00450	24.8	5.5		
contig_1	481560	482876	-	OBIBPL_00452	47.4	8.8		
contig_1	483028	484725	+	OBIBPL_00453	62.4	9.2		SO:0001217, UniRef:UniRef50_O83470
contig_1	486338	486958	+	OBIBPL_00456	23.0	8.5	PF00515.34|TPR_1, PF07719.23|TPR_2, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19, PF23914.1|TPR_CcmH_CycH	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, PFAM:PF23914.1
contig_1	487019	487375	+	OBIBPL_00457	12.7	4.6	PF01381.28|HTH_3	PFAM:PF01381.28
contig_1	489503	490300	-	OBIBPL_00460	29.9	6.5		
contig_1	490305	491375	-	OBIBPL_00461	40.7	6.4		
contig_1	491683	493635	-	OBIBPL_00462	72.0	6.2	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, SO:0001217, UniRef:UniRef50_F7XSS5
contig_1	493628	494785	-	OBIBPL_00463	45.3	8.9	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12
contig_1	498349	498975	-	OBIBPL_00466	23.4	6.2		
contig_1	503042	503746	-	OBIBPL_00470	26.0	5.9	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	506213	506701	+	OBIBPL_00473	18.2	9.8		
contig_1	512069	513913	-	OBIBPL_00477	67.1	6.7	PF00211.25|Guanylate_cyc, PF00672.30|HAMP	PFAM:PF00211.25, PFAM:PF00672.30
contig_1	515594	517615	-	OBIBPL_00479	73.0	9.7	PF13360.12|PQQ_2	PFAM:PF13360.12, SO:0001217, UniRef:UniRef50_F7XSU2
contig_1	521428	521616	+	OBIBPL_00484	7.2	5.1		
contig_1	526341	527162	+	OBIBPL_00488	31.4	4.7	PF02591.20|Zn_ribbon_9	PFAM:PF02591.20
contig_1	530393	530899	+	OBIBPL_00493	18.8	9.9		
contig_1	534098	534994	+	OBIBPL_00496	32.8	5.6	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_1	534994	535536	+	OBIBPL_00497	20.7	10.0		
contig_1	559624	560103	-	OBIBPL_00518	17.8	9.4		
contig_1	566804	567433	-	OBIBPL_00523	23.9	9.4		
contig_1	570781	571407	-	OBIBPL_00526	23.6	7.5		
contig_1	571413	571730	-	OBIBPL_00527	11.7	6.0		
contig_1	571752	572048	-	OBIBPL_00528	9.9	5.6	PF00137.26|ATP-synt_C	PFAM:PF00137.26
contig_1	572050	573735	-	OBIBPL_00529	62.4	7.9		
contig_1	573728	574753	-	OBIBPL_00530	39.0	8.3		
contig_1	574757	575041	-	OBIBPL_00531	10.5	4.3		
contig_1	575098	575508	-	OBIBPL_00532	14.0	5.4		
contig_1	581526	582209	-	OBIBPL_00539	24.5	5.8	PF00633.29|HHH, PF01330.27|RuvA_N, PF14520.12|HHH_5, PF21176.3|RecR_HhH	PFAM:PF00633.29, PFAM:PF01330.27, PFAM:PF14520.12, PFAM:PF21176.3
contig_1	582251	584125	-	OBIBPL_00540	68.3	7.7	PF03372.29|Exo_endo_phos	PFAM:PF03372.29
contig_1	605094	605945	-	OBIBPL_00558	29.8	9.1	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
contig_1	609571	610788	-	OBIBPL_00562	45.9	9.2		
contig_1	612321	612941	-	OBIBPL_00564	23.5	5.7		
contig_1	617678	618760	-	OBIBPL_00569	38.6	9.8	PF01794.25|Ferric_reduct, PF04205.19|FMN_bind	PFAM:PF01794.25, PFAM:PF04205.19
contig_1	625261	626142	+	OBIBPL_00574	31.7	7.8	PF00448.28|SRP54, PF02881.24|SRP54_N	PFAM:PF00448.28, PFAM:PF02881.24
contig_1	626139	626915	+	OBIBPL_00575	29.5	6.3		
contig_1	636200	637222	-	OBIBPL_00582	38.9	7.3	PF21694.2|DNA_pol3_delta_C	PFAM:PF21694.2
contig_1	637310	637576	-	OBIBPL_00583	9.5	6.6	PF00381.24|PTS-HPr	PFAM:PF00381.24
contig_1	643540	644175	-	OBIBPL_00592	22.9	8.6	PF00406.28|ADK, PF05191.20|ADK_lid, PF13207.12|AAA_17	PFAM:PF00406.28, PFAM:PF05191.20, PFAM:PF13207.12
contig_1	647520	648173	-	OBIBPL_00595	24.9	5.3		
contig_1	663552	664766	+	OBIBPL_00610	43.8	6.2	PF00155.27|Aminotran_1_2, PF00266.25|Aminotran_5, PF01041.23|DegT_DnrJ_EryC1	PFAM:PF00155.27, PFAM:PF00266.25, PFAM:PF01041.23
contig_1	666071	666343	-	OBIBPL_00613	10.0	8.5	PF10895.14|DUF2715	PFAM:PF10895.14
contig_1	666942	668684	-	OBIBPL_00615	62.8	7.6	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	668827	669123	+	OBIBPL_00616	10.7	11.2		
contig_1	671217	672809	+	OBIBPL_00618	58.0	10.1	PF01464.25|SLT, PF01476.26|LysM	PFAM:PF01464.25, PFAM:PF01476.26
contig_1	674354	674992	+	OBIBPL_00620	24.6	8.4		
contig_1	682844	684118	+	OBIBPL_00626	46.5	8.4	PF00072.30|Response_reg, PF01339.22|CheB_methylest	PFAM:PF00072.30, PFAM:PF01339.22
contig_1	688877	689641	-	OBIBPL_00630	28.1	9.3		
contig_1	690859	691293	-	OBIBPL_00632	15.4	9.1		
contig_1	717640	718152	-	OBIBPL_00656	19.2	7.8		
contig_1	721008	721763	-	OBIBPL_00660	28.9	9.7		
contig_1	721760	721936	-	OBIBPL_00661	6.4	10.0		
contig_1	723995	724597	-	OBIBPL_00664	22.5	9.6		SO:0001217, UniRef:UniRef50_F7XRF1
contig_1	733831	734439	+	OBIBPL_00670	22.5	11.6	PF01713.27|Smr	PFAM:PF01713.27
contig_1	735455	735733	-	OBIBPL_00672	10.3	4.7		
contig_1	735755	736363	-	OBIBPL_00673	21.7	6.3		
contig_1	736617	737540	+	OBIBPL_00675	34.7	9.3		
contig_1	737537	737854	+	OBIBPL_00676	11.6	9.7		
contig_1	739004	740137	-	OBIBPL_00678	40.4	8.6	PF00842.27|Ala_racemase_C, PF01168.26|Ala_racemase_N	PFAM:PF00842.27, PFAM:PF01168.26
contig_1	740166	740768	-	OBIBPL_00679	21.3	9.4		
contig_1	740822	741955	+	OBIBPL_00680	41.6	9.6	PF00348.22|polyprenyl_synt	PFAM:PF00348.22
contig_1	748923	749915	-	OBIBPL_00685	37.2	6.6	PF02016.21|Peptidase_S66, PF17676.7|Peptidase_S66C	PFAM:PF02016.21, PFAM:PF17676.7
contig_1	749937	751319	-	OBIBPL_00686	52.1	9.6	PF00009.33|GTP_EFTU, PF00025.27|Arf, PF00071.28|Ras, PF00350.29|Dynamin_N, PF00910.28|RNA_helicase, PF02263.25|GBP, PF02421.24|FeoB_N, PF03193.22|RsgA_GTPase, PF04548.22|AIG1, PF04670.18|Gtr1_RagA, PF08477.19|Roc, PF09439.16|SRPRB, PF14714.11|KH_dom-like	PFAM:PF00009.33, PFAM:PF00025.27, PFAM:PF00071.28, PFAM:PF00350.29, PFAM:PF00910.28, PFAM:PF02263.25, PFAM:PF02421.24, PFAM:PF03193.22, PFAM:PF04548.22, PFAM:PF04670.18, PFAM:PF08477.19, PFAM:PF09439.16, PFAM:PF14714.11
contig_1	754199	755521	-	OBIBPL_00691	47.8	6.2		
contig_1	755681	756358	+	OBIBPL_00692	24.4	9.7		
contig_1	760436	760828	-	OBIBPL_00697	14.2	4.8		
contig_1	761340	762572	-	OBIBPL_00700	45.0	10.0	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	768774	769151	-	OBIBPL_00704	13.5	10.5		
contig_1	769318	769833	+	OBIBPL_00705	18.0	4.4		
contig_1	772693	773268	+	OBIBPL_00708	21.4	9.2		
contig_1	781425	782471	-	OBIBPL_00717	37.1	4.4		
contig_1	784047	784178	-	OBIBPL_00720	5.0	6.0		
contig_1	785695	785892	-	OBIBPL_00723	7.5	6.7		
contig_1	789809	790660	+	OBIBPL_00727	30.7	9.3		
contig_1	790734	791354	+	OBIBPL_00728	23.7	6.5	PF00293.34|NUDIX	PFAM:PF00293.34
contig_1	797837	798172	-	OBIBPL_00735	12.3	6.4		
contig_1	799439	800152	-	OBIBPL_00737	25.7	6.6		
contig_1	802286	802612	-	OBIBPL_00741	11.4	7.7		
contig_1	809092	809763	+	OBIBPL_00746	26.0	9.1	PF00092.34|VWA, PF13519.12|VWA_2	PFAM:PF00092.34, PFAM:PF13519.12
contig_1	811874	812158	-	OBIBPL_00749	10.3	6.0		
contig_1	812155	813525	-	OBIBPL_00750	52.6	9.0	PF01938.26|TRAM, PF04055.27|Radical_SAM	PFAM:PF01938.26, PFAM:PF04055.27
contig_1	813567	814256	-	OBIBPL_00751	25.9	7.0	PF00359.27|PTS_EIIA_2, PF12728.13|HTH_17	PFAM:PF00359.27, PFAM:PF12728.13
contig_1	814309	815268	-	OBIBPL_00752	34.3	8.9	PF00551.24|Formyl_trans_N, PF02911.23|Formyl_trans_C	PFAM:PF00551.24, PFAM:PF02911.23
contig_1	815801	816010	-	OBIBPL_00754	8.4	10.4		
contig_1	818144	819022	+	OBIBPL_00756	32.4	9.9		
contig_1	820295	821128	-	OBIBPL_00758	31.9	9.8		
