# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	109014	109808	+	OBIBPL_00097	-	-	-	-	-	-
contig_1	cds	109846	111819	-	OBIBPL_00098	704.0	1.2e-246	1.097	0.970	0.527	UniRef:UniRef50_H7EMN1
contig_1	cds	111884	112579	+	OBIBPL_00099	-	-	-	-	-	-
contig_1	cds	112603	113247	+	OBIBPL_00100	-	-	-	-	-	-
contig_1	cds	113295	113705	+	OBIBPL_00101	-	-	-	-	-	-
contig_1	cds	113952	115580	+	OBIBPL_00102	614.0	3.0e-215	0.983	0.880	0.550	UniRef:UniRef50_P44569
contig_1	cds	115746	118739	+	OBIBPL_00103	1956.0	0.0	1.0	1.0	0.997	UniRef:UniRef50_P74933
contig_1	cds	118771	120303	-	OBIBPL_00104	503.0	8.5e-173	0.992	0.935	0.526	UniRef:UniRef50_A0A0J1J4P3
contig_1	cds	120284	122095	-	OBIBPL_00105	771.0	5.7e-276	0.978	0.953	0.624	UniRef:UniRef50_F7XRU8
contig_1	cds	122215	123600	-	OBIBPL_00106	566.0	1.8e-199	0.985	0.962	0.606	UniRef:UniRef50_A0A929HXF6
contig_1	cds	123702	124580	-	OBIBPL_00107	566.0	1.7e-205	1.0	1.0	1.0	UniRef:UniRef50_F7XRU9
contig_1	tRNA	124840	124910	+	OBIBPL_00108	46.6	-	-	-	-	-
contig_1	tRNA	124920	124991	+	OBIBPL_00109	51.6	-	-	-	-	-
contig_1	tRNA	125028	125099	+	OBIBPL_00110	49.3	-	-	-	-	-
contig_1	cds	125142	126854	+	OBIBPL_00111	1092.0	0.0	1.0	0.988	0.991	UniRef:UniRef50_O83148
contig_1	cds	126914	128341	+	OBIBPL_00112	932.0	0.0	1.0	0.958	1.0	UniRef:UniRef50_O83149
contig_1	cds	128338	129690	-	OBIBPL_00113	564.0	3.6e-199	0.982	0.953	0.606	UniRef:UniRef50_F4BNA1
contig_1	cds	129832	130818	+	OBIBPL_00114	-	-	-	-	-	-
contig_1	cds	130823	131818	+	OBIBPL_00115	393.0	3.4e-135	0.915	0.851	0.653	UniRef:UniRef50_O83152
contig_1	cds	131843	132652	-	OBIBPL_00116	293.0	3.8e-98	0.996	0.950	0.537	UniRef:UniRef50_O83153
contig_1	cds	132777	134810	+	OBIBPL_00117	684.0	6.5e-237	1.025	0.825	0.532	UniRef:UniRef50_Q03AL7
contig_1	cds	134842	136089	-	OBIBPL_00118	-	-	-	-	-	-
contig_1	cds	136043	136633	-	OBIBPL_00119	-	-	-	-	-	-
contig_1	cds	136712	137977	-	OBIBPL_00120	-	-	-	-	-	-
contig_1	cds	138075	138734	-	OBIBPL_00121	192.0	5.4e-60	0.913	0.877	0.555	UniRef:UniRef50_A0A090HWK7
contig_1	cds	138734	139543	-	OBIBPL_00122	514.0	1.5e-185	1.0	1.0	1.0	UniRef:UniRef50_A0A388T721
contig_1	cds	139666	140742	+	OBIBPL_00123	380.0	1.3e-129	1.014	0.992	0.532	UniRef:UniRef50_O83158
contig_1	cds	140962	142818	-	OBIBPL_00124	829.0	1.6e-298	0.994	1.008	0.635	UniRef:UniRef50_A0A5C6DH39
contig_1	cds	142951	145494	+	OBIBPL_00125	1677.0	0.0	1.0	0.989	0.993	UniRef:UniRef50_O83160
contig_1	cds	145508	146614	+	OBIBPL_00126	393.0	2.4e-133	1.005	0.837	0.551	UniRef:UniRef50_P37518
contig_1	cds	146691	147485	+	OBIBPL_00127	314.0	1.3e-106	1.0	0.985	0.568	UniRef:UniRef50_E5FNS8
contig_1	cds	147549	148220	-	OBIBPL_00128	-	-	-	-	-	-
contig_1	cds	148274	148912	-	OBIBPL_00129	-	-	-	-	-	-
contig_1	cds	148994	149263	+	OBIBPL_00130	-	-	-	-	-	-
contig_1	cds	149141	149749	-	OBIBPL_00131	-	-	-	-	-	-
contig_1	cds	150054	150722	+	OBIBPL_00132	416.0	5.7e-148	1.0	0.969	0.923	UniRef:UniRef50_O83164
contig_1	cds	151493	151960	-	OBIBPL_00133	-	-	-	-	-	-
contig_1	cds	152668	153915	-	OBIBPL_00134	-	-	-	-	-	-
contig_1	cds	153869	154459	-	OBIBPL_00135	-	-	-	-	-	-
contig_1	cds	154699	155961	-	OBIBPL_00136	617.0	1.5e-221	0.950	1.026	0.792	UniRef:UniRef50_O83170
contig_1	cds	156148	156879	+	OBIBPL_00137	494.0	7.5e-178	1.0	0.832	0.992	UniRef:UniRef50_F7XRX5
contig_1	tRNA	157028	157100	+	OBIBPL_00138	70.1	-	-	-	-	-
contig_1	cds	157336	158505	+	OBIBPL_00139	784.0	2.4e-288	1.0	1.0	1.0	UniRef:UniRef50_O83170
contig_1	cds	158920	159600	-	OBIBPL_00140	421.0	6.2e-150	1.0	0.922	0.991	UniRef:UniRef50_O83174
contig_1	cds	159665	160357	-	OBIBPL_00141	321.0	2.0e-110	0.987	0.966	0.661	UniRef:UniRef50_M2BKL1
contig_1	cds	160397	162115	-	OBIBPL_00142	1068.0	0.0	1.0	0.995	1.0	UniRef:UniRef50_O83176
contig_1	cds	162295	162828	+	OBIBPL_00143	-	-	-	-	-	-
contig_1	cds	162779	163441	-	OBIBPL_00144	220.0	9.0e-71	0.900	0.880	0.581	UniRef:UniRef50_M2ARP1
contig_1	cds	163434	165176	-	OBIBPL_00145	1111.0	0.0	1.0	0.976	0.981	UniRef:UniRef50_O83179
contig_1	cds	165173	166180	-	OBIBPL_00146	-	-	-	-	-	-
contig_1	cds	166290	168260	+	OBIBPL_00147	1298.0	0.0	1.0	0.982	0.997	UniRef:UniRef50_F7XRY5
contig_1	tRNA	168334	168415	-	OBIBPL_00148	61.2	-	-	-	-	-
contig_1	cds	168600	168767	+	OBIBPL_00149	-	-	-	-	-	-
contig_1	cds	168767	169066	+	OBIBPL_00150	-	-	-	-	-	-
contig_1	cds	169063	169374	+	OBIBPL_00151	-	-	-	-	-	-
contig_1	cds	169371	169640	+	OBIBPL_00152	-	-	-	-	-	-
contig_1	cds	169650	171509	-	OBIBPL_00153	646.0	5.6e-226	1.002	0.973	0.535	UniRef:UniRef50_O83182
contig_1	cds	171506	172081	-	OBIBPL_00154	-	-	-	-	-	-
contig_1	cds	172081	172671	-	OBIBPL_00155	-	-	-	-	-	-
contig_1	cds	172664	173131	-	OBIBPL_00156	-	-	-	-	-	-
contig_1	cds	173115	174134	-	OBIBPL_00157	-	-	-	-	-	-
contig_1	cds	174121	175605	-	OBIBPL_00158	951.0	0.0	1.0	0.961	0.994	UniRef:UniRef50_F7XRZ1
contig_1	cds	175741	176232	-	OBIBPL_00159	165.0	7.7e-51	0.945	0.939	0.526	UniRef:UniRef50_Q73MW8
contig_1	cds	176394	177494	+	OBIBPL_00160	734.0	7.8e-269	1.0	0.906	1.0	UniRef:UniRef50_F7XRZ3
contig_1	cds	177500	178615	+	OBIBPL_00161	654.0	1.4e-237	1.0	1.0	0.995	UniRef:UniRef50_O83190
contig_1	cds	178657	179061	-	OBIBPL_00162	127.0	8.1e-37	0.925	0.844	0.508	UniRef:UniRef50_Q73KJ3
contig_1	cds	179058	179960	-	OBIBPL_00163	-	-	-	-	-	-
contig_1	cds	179957	180622	-	OBIBPL_00164	456.0	7.4e-164	1.0	0.969	0.995	UniRef:UniRef50_O83193
contig_1	cds	180647	181675	-	OBIBPL_00165	-	-	-	-	-	-
contig_1	cds	181791	183650	-	OBIBPL_00166	583.0	1.1e-201	1.034	1.031	0.506	UniRef:UniRef50_Q73KJ8
contig_1	cds	183756	184808	-	OBIBPL_00167	409.0	1.6e-140	0.957	0.848	0.642	UniRef:UniRef50_P70828
contig_1	cds	184984	185910	+	OBIBPL_00168	302.0	1.6e-100	0.909	0.889	0.568	UniRef:UniRef50_P96116
contig_1	cds	186058	186858	+	OBIBPL_00169	280.0	3.0e-93	0.910	0.945	0.558	UniRef:UniRef50_F4BNH0
contig_1	cds	186830	187726	+	OBIBPL_00170	319.0	3.9e-107	0.946	0.881	0.603	UniRef:UniRef50_A0A0E2EJU4
contig_1	cds	187730	188833	+	OBIBPL_00171	625.0	3.8e-226	1.0	1.0	0.995	UniRef:UniRef50_P96119
contig_1	cds	188843	189304	+	OBIBPL_00172	-	-	-	-	-	-
contig_1	cds	189384	190139	+	OBIBPL_00173	306.0	2.8e-103	0.996	0.822	0.576	UniRef:UniRef50_C0QV47
contig_1	tRNA	190265	190337	+	OBIBPL_00174	70.4	-	-	-	-	-
contig_1	cds	190458	191267	+	OBIBPL_00175	513.0	6.3e-185	1.0	1.0	0.996	UniRef:UniRef50_P96122
contig_1	cds	191366	191794	+	OBIBPL_00176	286.0	2.4e-99	1.0	0.882	1.0	UniRef:UniRef50_P16055
contig_1	cds	191784	193151	-	OBIBPL_00177	-	-	-	-	-	-
contig_1	cds	193159	194679	-	OBIBPL_00178	-	-	-	-	-	-
contig_1	cds	194676	196004	-	OBIBPL_00179	-	-	-	-	-	-
contig_1	cds	196079	197005	-	OBIBPL_00180	-	-	-	-	-	-
contig_1	cds	197005	198888	-	OBIBPL_00181	1151.0	0.0	1.0	0.965	0.982	UniRef:UniRef50_O83209
contig_1	cds	198981	199424	+	OBIBPL_00182	-	-	-	-	-	-
contig_1	cds	199405	200043	+	OBIBPL_00183	-	-	-	-	-	-
contig_1	cds	200046	200891	-	OBIBPL_00184	-	-	-	-	-	-
contig_1	cds	200896	201360	-	OBIBPL_00185	150.0	6.9e-45	0.987	0.854	0.520	UniRef:UniRef50_O83214
contig_1	cds	201448	202155	+	OBIBPL_00186	-	-	-	-	-	-
contig_1	cds	202174	203391	+	OBIBPL_00187	813.0	3.2e-299	1.0	1.0	1.0	UniRef:UniRef50_F7XS16
contig_1	cds	203755	204942	+	OBIBPL_00188	545.0	1.9e-192	1.0	0.828	0.691	UniRef:UniRef50_P43926
contig_1	cds	205014	205322	+	OBIBPL_00189	114.0	3.3e-32	0.961	0.803	0.541	UniRef:UniRef50_Q2LQA2
contig_1	cds	205369	205995	+	OBIBPL_00190	300.0	7.9e-103	1.0	1.0	0.712	UniRef:UniRef50_S3LPB9
contig_1	cds	205985	206659	+	OBIBPL_00191	274.0	8.7e-92	1.054	0.996	0.589	UniRef:UniRef50_P94268
contig_1	cds	206646	206930	+	OBIBPL_00192	-	-	-	-	-	-
contig_1	cds	206986	207807	+	OBIBPL_00193	292.0	2.8e-97	1.004	0.895	0.573	UniRef:UniRef50_P60405
contig_1	cds	207817	208104	+	OBIBPL_00194	122.0	8.7e-36	0.979	0.921	0.634	UniRef:UniRef50_P94271
contig_1	cds	208113	208487	+	OBIBPL_00195	142.0	7.4e-43	0.903	0.806	0.625	UniRef:UniRef50_O83224
contig_1	cds	208471	209214	+	OBIBPL_00196	345.0	7.1e-119	0.947	0.804	0.731	UniRef:UniRef50_O83225
contig_1	cds	209218	209637	+	OBIBPL_00197	159.0	6.1e-49	0.950	0.857	0.576	UniRef:UniRef50_A0A355UQN7
contig_1	cds	209652	209870	+	OBIBPL_00198	-	-	-	-	-	-
contig_1	cds	209870	210139	+	OBIBPL_00199	90.5	1.5e-23	0.865	0.865	0.623	UniRef:UniRef50_O83228
contig_1	cds	210152	210520	+	OBIBPL_00200	141.0	1.4e-42	1.0	0.871	0.566	UniRef:UniRef50_O83229
contig_1	cds	210532	210843	+	OBIBPL_00201	121.0	3.6e-35	0.990	0.887	0.588	UniRef:UniRef50_O83230
contig_1	cds	210840	211397	+	OBIBPL_00202	202.0	2.0e-64	0.957	0.805	0.542	UniRef:UniRef50_Q8DS25
contig_1	cds	211610	212008	+	OBIBPL_00203	164.0	2.7e-51	1.023	1.0	0.563	UniRef:UniRef50_O51445
contig_1	cds	212018	212557	+	OBIBPL_00204	182.0	5.3e-57	0.994	0.973	0.506	UniRef:UniRef50_O83234
contig_1	cds	212566	212928	+	OBIBPL_00205	145.0	1.6e-44	0.992	0.975	0.630	UniRef:UniRef50_Q73PL6
contig_1	cds	212937	213455	+	OBIBPL_00206	160.0	2.7e-48	0.936	0.821	0.509	UniRef:UniRef50_A0A7X7RJ92
contig_1	cds	213458	213643	+	OBIBPL_00207	62.8	2.7e-13	0.984	0.857	0.500	UniRef:UniRef50_E4RQR2
contig_1	cds	213643	214104	+	OBIBPL_00208	107.0	3.5e-28	0.922	0.870	0.567	UniRef:UniRef50_Q6AP51
contig_1	cds	214112	215431	+	OBIBPL_00209	-	-	-	-	-	-
contig_1	cds	215470	215583	+	OBIBPL_00210	-	-	-	-	-	-
contig_1	cds	215599	215964	+	OBIBPL_00211	134.0	1.0e-39	0.950	0.827	0.626	UniRef:UniRef50_Q8DML1
contig_1	cds	215983	216363	+	OBIBPL_00212	137.0	7.3e-41	0.952	0.870	0.550	UniRef:UniRef50_O66485
contig_1	cds	216378	217433	+	OBIBPL_00213	345.0	7.6e-116	0.954	0.901	0.510	UniRef:UniRef50_G0G9S3
contig_1	cds	217423	217917	+	OBIBPL_00214	-	-	-	-	-	-
contig_1	cds	217941	218138	+	OBIBPL_00215	-	-	-	-	-	-
contig_1	cds	218323	219006	+	OBIBPL_00216	-	-	-	-	-	-
contig_1	cds	219122	221029	+	OBIBPL_00217	768.0	7.4e-274	1.003	1.006	0.656	UniRef:UniRef50_Q2JI64
contig_1	cds	221198	222400	+	OBIBPL_00218	448.0	3.3e-155	0.990	1.005	0.586	UniRef:UniRef50_Q73Q15
contig_1	cds	222577	224046	+	OBIBPL_00219	-	-	-	-	-	-
contig_1	cds	224050	226197	+	OBIBPL_00220	-	-	-	-	-	-
contig_1	cds	226226	226384	+	OBIBPL_00221	-	-	-	-	-	-
contig_1	cds	226381	226557	+	OBIBPL_00222	-	-	-	-	-	-
contig_1	cds	226544	227341	+	OBIBPL_00223	-	-	-	-	-	-
contig_1	cds	227351	227797	+	OBIBPL_00224	188.0	1.4e-60	1.0	1.0	0.986	UniRef:UniRef50_O83251
contig_1	cds	227934	229373	+	OBIBPL_00225	-	-	-	-	-	-
contig_1	cds	229563	230303	+	OBIBPL_00226	-	-	-	-	-	-
contig_1	cds	230347	230454	+	OBIBPL_00227	-	-	-	-	-	-
contig_1	rRNA	230487	232035	+	OBIBPL_00228	1526.5	4.8e-47	-	-	-	RFAM:RF00177
contig_1	tRNA	232147	232220	+	OBIBPL_00229	66.5	-	-	-	-	-
contig_1	rRNA	232341	235293	+	OBIBPL_00230	2723.4	2.7e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	235342	235452	+	OBIBPL_00231	85.0	1.5e-14	-	-	-	RFAM:RF00001
contig_1	cds	235466	236152	-	OBIBPL_00232	423.0	6.3e-151	1.0	1.0	0.969	UniRef:UniRef50_O83254
contig_1	cds	236205	236972	-	OBIBPL_00233	496.0	5.4e-179	1.0	1.0	0.996	UniRef:UniRef50_O83255
contig_1	cds	237039	237617	-	OBIBPL_00234	-	-	-	-	-	-
contig_1	cds	237819	238631	+	OBIBPL_00235	-	-	-	-	-	-
contig_1	cds	238636	240609	+	OBIBPL_00236	686.0	7.3e-240	0.986	0.885	0.551	UniRef:UniRef50_O83258
contig_1	cds	240710	241360	+	OBIBPL_00237	-	-	-	-	-	-
contig_1	cds	241607	242152	+	OBIBPL_00238	262.0	1.9e-88	0.983	0.927	0.691	UniRef:UniRef50_A0A1V5WKF9
contig_1	tRNA	242287	242359	+	OBIBPL_00239	64.1	-	-	-	-	-
contig_1	cds	242388	242558	+	OBIBPL_00240	75.9	1.3e-18	0.964	0.831	0.667	UniRef:UniRef50_O83262
contig_1	tRNA	242613	242685	+	OBIBPL_00241	66.5	-	-	-	-	-
contig_1	cds	242708	242887	+	OBIBPL_00242	-	-	-	-	-	-
contig_1	cds	242897	243454	+	OBIBPL_00243	218.0	4.4e-71	0.989	0.915	0.525	UniRef:UniRef50_O83264
contig_1	cds	243561	244001	+	OBIBPL_00244	158.0	1.7e-48	0.959	0.833	0.579	UniRef:UniRef50_P10055
contig_1	cds	243998	244678	+	OBIBPL_00245	298.0	2.4e-101	1.0	1.0	0.637	UniRef:UniRef50_H7ENF2
contig_1	cds	244680	245222	+	OBIBPL_00246	216.0	9.7e-71	0.911	0.927	0.652	UniRef:UniRef50_S3L9G9
contig_1	cds	245331	245720	+	OBIBPL_00247	114.0	1.7e-31	1.008	0.833	0.569	UniRef:UniRef50_P29396
contig_1	cds	245984	249520	+	OBIBPL_00248	1637.0	0.0	1.033	1.005	0.684	UniRef:UniRef50_A0A1V6BTB6
contig_1	cds	249533	253783	+	OBIBPL_00249	1904.0	0.0	0.987	0.991	0.681	UniRef:UniRef50_A0A098QS40
contig_1	cds	253886	254260	+	OBIBPL_00250	174.0	1.1e-55	1.008	1.016	0.696	UniRef:UniRef50_A0A962M7M0
contig_1	cds	254282	254752	+	OBIBPL_00251	174.0	3.0e-54	1.0	0.872	0.564	UniRef:UniRef50_P02359
contig_1	cds	254886	258209	+	OBIBPL_00252	2129.0	0.0	1.0	0.936	0.999	UniRef:UniRef50_O83273
contig_1	cds	258196	260148	+	OBIBPL_00253	-	-	-	-	-	-
contig_1	cds	260241	261272	+	OBIBPL_00254	446.0	1.9e-155	0.994	0.897	0.642	UniRef:UniRef50_M2AYA5
contig_1	cds	261269	261742	+	OBIBPL_00255	-	-	-	-	-	-
