#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	147552	148223	-	LIHGCB_00127	24.6	8.5		
contig_1	148277	148915	-	LIHGCB_00128	22.4	8.8		
contig_1	148997	149266	+	LIHGCB_00129	9.8	7.6		
contig_1	149144	149602	-	LIHGCB_00130	16.7	9.3	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	149625	150092	-	LIHGCB_00131	16.4	10.5		
contig_1	150800	152047	-	LIHGCB_00132	46.2	6.8	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	152001	152591	-	LIHGCB_00133	21.5	10.1		
contig_1	160472	161005	+	LIHGCB_00141	19.4	9.2	PF01035.26|DNA_binding_1	PFAM:PF01035.26
contig_1	163350	164357	-	LIHGCB_00144	36.9	6.6		
contig_1	166777	167256	+	LIHGCB_00147	17.5	9.9		
contig_1	167253	167564	+	LIHGCB_00148	11.1	4.9		
contig_1	167528	167830	+	LIHGCB_00149	11.0	10.9		
contig_1	169696	170271	-	LIHGCB_00151	21.0	8.6		
contig_1	170268	170861	-	LIHGCB_00152	21.5	8.5		
contig_1	170854	171321	-	LIHGCB_00153	17.4	9.6		
contig_1	171305	172324	-	LIHGCB_00154	36.9	8.8		
contig_1	177248	178150	-	LIHGCB_00160	34.5	6.9		
contig_1	178837	179865	-	LIHGCB_00162	39.2	8.9		
contig_1	189974	191341	-	LIHGCB_00174	50.3	5.9		
contig_1	191349	192869	-	LIHGCB_00175	57.5	9.0		
contig_1	192866	194194	-	LIHGCB_00176	50.3	9.2		
contig_1	194269	195195	-	LIHGCB_00177	34.6	5.7		
contig_1	197172	197615	+	LIHGCB_00179	16.5	8.8	PF04977.20|DivIC	PFAM:PF04977.20
contig_1	197596	198234	+	LIHGCB_00180	22.7	8.9		
contig_1	198237	199082	-	LIHGCB_00181	31.1	9.4		
contig_1	199639	200346	+	LIHGCB_00183	26.9	9.6	PF10502.14|Peptidase_S26	PFAM:PF10502.14
contig_1	204837	205121	+	LIHGCB_00189	10.5	11.8		
contig_1	207843	208061	+	LIHGCB_00195	8.8	10.1		
contig_1	212303	213622	+	LIHGCB_00206	48.9	10.4		
contig_1	213661	213774	+	LIHGCB_00207	4.3	10.7	PF00444.23|Ribosomal_L36	PFAM:PF00444.23
contig_1	215614	216108	+	LIHGCB_00211	18.7	11.2		
contig_1	216132	216329	+	LIHGCB_00212	7.0	11.0		
contig_1	216514	217197	+	LIHGCB_00213	25.0	5.0		
contig_1	220768	222237	+	LIHGCB_00216	56.2	6.8		
contig_1	222241	224388	+	LIHGCB_00217	81.4	8.5		
contig_1	224417	224575	+	LIHGCB_00218	5.9	9.1		
contig_1	224572	224748	+	LIHGCB_00219	6.5	4.9	PF01740.26|STAS	PFAM:PF01740.26
contig_1	224735	225532	+	LIHGCB_00220	30.1	9.5		
contig_1	226125	227564	+	LIHGCB_00222	51.8	5.6	PF00155.27|Aminotran_1_2	PFAM:PF00155.27
contig_1	227598	227708	+	LIHGCB_00223	4.2	9.9		
contig_1	227754	228494	+	LIHGCB_00224	26.7	9.2	PF13306.12|LRR_5	PFAM:PF13306.12
contig_1	228538	228645	+	LIHGCB_00225	3.7	10.6		
contig_1	235220	235798	-	LIHGCB_00232	20.0	11.2		
contig_1	236000	236812	+	LIHGCB_00233	29.9	8.8	PF03167.24|UDG	PFAM:PF03167.24
contig_1	238891	239541	+	LIHGCB_00235	23.8	10.6		
contig_1	240889	241068	+	LIHGCB_00240	6.8	10.9		
contig_1	256377	258329	+	LIHGCB_00251	75.8	8.8	PF00092.34|VWA	PFAM:PF00092.34
contig_1	259450	259923	+	LIHGCB_00253	17.4	8.7		
contig_1	261486	261803	+	LIHGCB_00256	11.7	10.7	PF00216.26|Bac_DNA_binding, PF18291.6|HU-HIG	PFAM:PF00216.26, PFAM:PF18291.6
contig_1	261793	263433	+	LIHGCB_00257	61.5	8.7	PF20154.4|LNT_N	PFAM:PF20154.4
contig_1	263424	263837	+	LIHGCB_00258	14.9	9.5	PF04519.19|Bactofilin	PFAM:PF04519.19
contig_1	266000	266650	+	LIHGCB_00261	24.6	9.4		
contig_1	269406	270686	-	LIHGCB_00265	48.5	6.6	PF08239.17|SH3_3	PFAM:PF08239.17
contig_1	276890	276979	+	LIHGCB_00272	3.4	7.7		
contig_1	276925	277032	+	LIHGCB_00273	3.7	10.6		
contig_1	283113	284561	+	LIHGCB_00280	53.1	9.3	PF04055.27|Radical_SAM	PFAM:PF04055.27
contig_1	287923	288714	+	LIHGCB_00284	29.7	9.0		
contig_1	290069	290953	-	LIHGCB_00287	32.9	8.9	PF04452.19|Methyltrans_RNA, PF20260.4|PUA_4	PFAM:PF04452.19, PFAM:PF20260.4
contig_1	295637	296356	+	LIHGCB_00290	26.3	9.9	PF07719.23|TPR_2, PF13424.12|TPR_12, PF13432.12|TPR_16	PFAM:PF07719.23, PFAM:PF13424.12, PFAM:PF13432.12
contig_1	296453	297013	+	LIHGCB_00291	20.6	8.6	PF01467.32|CTP_transf_like	PFAM:PF01467.32
contig_1	299725	302298	+	LIHGCB_00294	95.6	6.4	PF08241.18|Methyltransf_11, PF08242.18|Methyltransf_12, PF13489.12|Methyltransf_23, PF13649.12|Methyltransf_25	PFAM:PF08241.18, PFAM:PF08242.18, PFAM:PF13489.12, PFAM:PF13649.12
contig_1	302353	303186	+	LIHGCB_00295	30.9	6.1	PF00702.32|Hydrolase, PF08282.18|Hydrolase_3	PFAM:PF00702.32, PFAM:PF08282.18
contig_1	308128	308763	+	LIHGCB_00300	23.5	9.9	PF01121.26|CoaE	PFAM:PF01121.26
contig_1	308766	309539	+	LIHGCB_00301	28.2	10.2	PF05036.18|SPOR	PFAM:PF05036.18
contig_1	312457	313590	+	LIHGCB_00304	40.9	9.8		
contig_1	314509	316455	-	LIHGCB_00306	71.2	8.1	PF02518.31|HATPase_c, PF08676.16|MutL_C, PF13589.12|HATPase_c_3	PFAM:PF02518.31, PFAM:PF08676.16, PFAM:PF13589.12
contig_1	322109	323137	+	LIHGCB_00310	37.1	6.0	PF03793.24|PASTA	PFAM:PF03793.24
contig_1	324143	324361	+	LIHGCB_00312	7.7	9.3		
contig_1	324375	324959	+	LIHGCB_00313	22.1	7.8	PF00497.25|SBP_bac_3	PFAM:PF00497.25
contig_1	324982	325344	+	LIHGCB_00314	13.4	8.2	PF00436.31|SSB	PFAM:PF00436.31
contig_1	326609	326905	-	LIHGCB_00316	10.7	11.2		
contig_1	327048	328790	+	LIHGCB_00317	62.8	7.6	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	328849	329121	-	LIHGCB_00318	10.0	8.5	PF10895.14|DUF2715	PFAM:PF10895.14
contig_1	329624	330928	-	LIHGCB_00320	47.7	5.9	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	331101	331397	+	LIHGCB_00321	10.7	11.2		
contig_1	334545	335660	+	LIHGCB_00324	39.2	9.9		
contig_1	335657	336607	+	LIHGCB_00325	33.9	9.0		
contig_1	354380	354844	-	LIHGCB_00336	16.5	9.4		
contig_1	356443	357300	+	LIHGCB_00338	32.3	9.6	PF00398.26|RrnaAD	PFAM:PF00398.26
contig_1	357318	357806	+	LIHGCB_00339	18.4	4.7		
contig_1	363248	366694	-	LIHGCB_00345	130.9	6.4	PF00270.35|DEAD, PF00271.37|Helicase_C, PF02559.22|CarD_TRCF_RID, PF03461.20|TRCF, PF17757.6|UvrB_inter	PFAM:PF00270.35, PFAM:PF00271.37, PFAM:PF02559.22, PFAM:PF03461.20, PFAM:PF17757.6
contig_1	368876	369586	+	LIHGCB_00348	25.5	8.8	PF10895.14|DUF2715	PFAM:PF10895.14, SO:0001217, UniRef:UniRef50_O83367
contig_1	369607	370722	-	LIHGCB_00349	40.3	10.2		SO:0001217, UniRef:UniRef50_F7XSG0
contig_1	370701	371231	-	LIHGCB_00350	18.5	4.3	PF00254.34|FKBP_C	PFAM:PF00254.34
contig_1	371444	372730	+	LIHGCB_00351	46.6	7.7		
contig_1	374776	375402	+	LIHGCB_00355	23.9	6.3	PF01712.25|dNK, PF02223.23|Thymidylate_kin	PFAM:PF01712.25, PFAM:PF02223.23
contig_1	375478	375768	+	LIHGCB_00356	10.6	10.1		
contig_1	376299	376406	+	LIHGCB_00358	4.1	11.6		
contig_1	376456	377115	+	LIHGCB_00359	23.4	7.9	PF02237.23|BPL_C, PF03099.24|BPL_LplA_LipB	PFAM:PF02237.23, PFAM:PF03099.24
contig_1	377120	378700	-	LIHGCB_00360	59.7	6.3	PF03065.20|Glyco_hydro_57, PF09210.16|BE_C	PFAM:PF03065.20, PFAM:PF09210.16
contig_1	378712	379347	-	LIHGCB_00361	23.9	5.3		
contig_1	383848	385182	+	LIHGCB_00366	49.0	5.2	PF01584.24|CheW, PF01739.24|CheR	PFAM:PF01584.24, PFAM:PF01739.24
contig_1	389244	389579	+	LIHGCB_00370	12.4	5.7		
contig_1	389576	391114	+	LIHGCB_00371	55.6	5.9	PF13525.12|YfiO	PFAM:PF13525.12
contig_1	391182	391445	-	LIHGCB_00372	10.4	4.1		
contig_1	392614	393204	+	LIHGCB_00375	21.6	8.6	PF01386.24|Ribosomal_L25p, PF14693.11|Ribosomal_TL5_C	PFAM:PF01386.24, PFAM:PF14693.11
contig_1	397049	397408	-	LIHGCB_00378	13.2	5.7	PF13309.12|HTH_22	PFAM:PF13309.12
contig_1	398676	399170	+	LIHGCB_00380	18.5	9.5		
contig_1	406602	406976	+	LIHGCB_00386	14.3	10.7		
contig_1	409468	410283	+	LIHGCB_00389	30.6	9.7	PF08478.15|POTRA_1	PFAM:PF08478.15
contig_1	413749	414501	+	LIHGCB_00393	28.8	9.4	PF00515.34|TPR_1, PF03704.23|BTAD, PF07719.23|TPR_2, PF13174.12|TPR_6, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF03704.23, PFAM:PF07719.23, PFAM:PF13174.12, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF14559.12
contig_1	418668	419078	+	LIHGCB_00397	15.6	6.8		
contig_1	422912	423841	+	LIHGCB_00402	35.3	5.1		
contig_1	425241	425693	+	LIHGCB_00404	17.5	10.0	PF02050.21|FliJ	PFAM:PF02050.21
contig_1	425690	426223	-	LIHGCB_00405	19.5	6.4		
contig_1	426445	426687	+	LIHGCB_00406	9.2	9.3		
contig_1	428546	431800	+	LIHGCB_00409	124.1	5.3		SO:0001217, UniRef:UniRef50_F7XSM0
contig_1	431918	432295	+	LIHGCB_00410	13.6	9.9		
contig_1	435378	435683	-	LIHGCB_00413	11.9	9.9		
contig_1	435702	437600	-	LIHGCB_00414	70.1	8.3	PF02878.22|PGM_PMM_I, PF02880.22|PGM_PMM_III	PFAM:PF02878.22, PFAM:PF02880.22
contig_1	439075	439599	+	LIHGCB_00416	18.6	7.0		
contig_1	443770	444522	+	LIHGCB_00420	26.4	6.2	PF01975.23|SurE	PFAM:PF01975.23
contig_1	446766	447734	+	LIHGCB_00422	35.8	9.2		
contig_1	447759	448565	+	LIHGCB_00423	30.0	10.2		
contig_1	448691	449305	+	LIHGCB_00424	22.3	4.7		
contig_1	449305	449850	+	LIHGCB_00425	20.4	6.1		
contig_1	456784	457317	+	LIHGCB_00432	19.1	5.8		
contig_1	463457	464608	+	LIHGCB_00439	41.6	6.3	PF01041.23|DegT_DnrJ_EryC1	PFAM:PF01041.23
contig_1	464662	465522	+	LIHGCB_00440	30.7	8.3	PF01513.26|NAD_kinase, PF20143.4|NAD_kinase_C	PFAM:PF01513.26, PFAM:PF20143.4
contig_1	468038	469066	+	LIHGCB_00443	36.6	10.2	PF01476.26|LysM, PF01551.29|Peptidase_M23, PF23473.1|LysM3_LYK4_5	PFAM:PF01476.26, PFAM:PF01551.29, PFAM:PF23473.1
contig_1	469202	469831	+	LIHGCB_00444	22.0	5.8	PF01965.30|DJ-1_PfpI	PFAM:PF01965.30
contig_1	473352	473942	+	LIHGCB_00448	22.5	6.6	PF12895.13|ANAPC3, PF13428.12|TPR_14, PF14559.12|TPR_19	PFAM:PF12895.13, PFAM:PF13428.12, PFAM:PF14559.12
contig_1	480721	481071	+	LIHGCB_00452	12.6	8.9	PF13248.11|Zn_ribbon_3	PFAM:PF13248.11
contig_1	481055	481744	-	LIHGCB_00453	24.9	5.5		
contig_1	482802	484118	-	LIHGCB_00455	47.4	8.8		
contig_1	484270	485967	+	LIHGCB_00456	62.4	9.2		SO:0001217, UniRef:UniRef50_O83470
contig_1	487580	488200	+	LIHGCB_00459	23.0	8.5	PF00515.34|TPR_1, PF07719.23|TPR_2, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19, PF23914.1|TPR_CcmH_CycH	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, PFAM:PF23914.1
contig_1	490748	491545	-	LIHGCB_00463	29.9	6.5		
contig_1	491550	492620	-	LIHGCB_00464	40.7	6.4		
contig_1	492928	494880	-	LIHGCB_00465	72.0	6.2	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13176.12|TPR_7, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13424.12|TPR_12, PF13428.12|TPR_14, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13176.12, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13424.12, PFAM:PF13428.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12, SO:0001217, UniRef:UniRef50_F7XSS5
contig_1	494873	495718	-	LIHGCB_00466	32.7	8.8	PF00515.34|TPR_1, PF07719.23|TPR_2, PF12895.13|ANAPC3, PF13181.12|TPR_8, PF13414.12|TPR_11, PF13431.12|TPR_17, PF13432.12|TPR_16, PF14559.12|TPR_19	PFAM:PF00515.34, PFAM:PF07719.23, PFAM:PF12895.13, PFAM:PF13181.12, PFAM:PF13414.12, PFAM:PF13431.12, PFAM:PF13432.12, PFAM:PF14559.12
contig_1	499282	499908	-	LIHGCB_00469	23.4	6.2		
contig_1	503975	504679	-	LIHGCB_00473	26.0	5.9	PF01182.26|Glucosamine_iso	PFAM:PF01182.26
contig_1	507146	507634	+	LIHGCB_00476	18.2	9.8		
contig_1	513002	514846	-	LIHGCB_00480	67.1	6.7	PF00211.25|Guanylate_cyc, PF00672.30|HAMP	PFAM:PF00211.25, PFAM:PF00672.30
contig_1	516527	518548	-	LIHGCB_00482	72.9	9.7	PF13360.12|PQQ_2	PFAM:PF13360.12, SO:0001217, UniRef:UniRef50_F7XSU2
contig_1	522361	522549	+	LIHGCB_00487	7.2	5.1		
contig_1	527274	528095	+	LIHGCB_00491	31.4	4.7	PF02591.20|Zn_ribbon_9	PFAM:PF02591.20
contig_1	531326	531832	+	LIHGCB_00496	18.8	9.9		
contig_1	535031	535927	+	LIHGCB_00499	32.8	5.6	PF00023.36|Ank, PF12796.13|Ank_2, PF13606.12|Ank_3, PF13637.12|Ank_4, PF13857.12|Ank_5	PFAM:PF00023.36, PFAM:PF12796.13, PFAM:PF13606.12, PFAM:PF13637.12, PFAM:PF13857.12
contig_1	535927	536469	+	LIHGCB_00500	20.7	10.0		
contig_1	560563	561042	-	LIHGCB_00521	17.8	9.4		
contig_1	567743	568372	-	LIHGCB_00526	23.9	9.4		
contig_1	571720	572346	-	LIHGCB_00529	23.6	7.5		
contig_1	572352	572669	-	LIHGCB_00530	11.7	6.0		
contig_1	572691	572987	-	LIHGCB_00531	9.9	5.6	PF00137.26|ATP-synt_C	PFAM:PF00137.26
contig_1	572989	574674	-	LIHGCB_00532	62.4	7.6		
contig_1	574667	575692	-	LIHGCB_00533	39.0	8.3		
contig_1	575696	575980	-	LIHGCB_00534	10.5	4.3		
contig_1	576037	576447	-	LIHGCB_00535	14.0	5.4		
contig_1	582465	583148	-	LIHGCB_00542	24.5	5.8	PF00633.29|HHH, PF01330.27|RuvA_N, PF14520.12|HHH_5, PF21176.3|RecR_HhH	PFAM:PF00633.29, PFAM:PF01330.27, PFAM:PF14520.12, PFAM:PF21176.3
contig_1	583190	585064	-	LIHGCB_00543	68.3	7.7	PF03372.29|Exo_endo_phos	PFAM:PF03372.29
contig_1	605990	606841	-	LIHGCB_00561	29.8	9.1	PF04536.20|TPM_phosphatase	PFAM:PF04536.20
contig_1	610467	611684	-	LIHGCB_00565	45.9	9.2		
contig_1	613217	613837	-	LIHGCB_00567	23.5	5.7		
contig_1	618574	619656	-	LIHGCB_00572	38.6	9.8	PF01794.25|Ferric_reduct, PF04205.19|FMN_bind	PFAM:PF01794.25, PFAM:PF04205.19
contig_1	626133	627014	+	LIHGCB_00577	31.7	7.8	PF00448.28|SRP54, PF02881.24|SRP54_N	PFAM:PF00448.28, PFAM:PF02881.24
contig_1	627011	627787	+	LIHGCB_00578	29.5	6.3		
contig_1	637072	638094	-	LIHGCB_00585	38.9	7.3	PF21694.2|DNA_pol3_delta_C	PFAM:PF21694.2
contig_1	638182	638448	-	LIHGCB_00586	9.5	6.6	PF00381.24|PTS-HPr	PFAM:PF00381.24
contig_1	644416	645051	-	LIHGCB_00595	22.9	8.6	PF00406.28|ADK, PF05191.20|ADK_lid, PF13207.12|AAA_17	PFAM:PF00406.28, PFAM:PF05191.20, PFAM:PF13207.12
contig_1	648396	649049	-	LIHGCB_00598	24.9	5.3		
contig_1	664428	665642	+	LIHGCB_00613	43.8	6.2	PF00155.27|Aminotran_1_2, PF00266.25|Aminotran_5, PF01041.23|DegT_DnrJ_EryC1	PFAM:PF00155.27, PFAM:PF00266.25, PFAM:PF01041.23
contig_1	667816	669528	-	LIHGCB_00617	61.7	7.6	PF02722.21|MOSP_C	PFAM:PF02722.21
contig_1	669701	669997	+	LIHGCB_00618	10.7	11.2		
contig_1	672089	673681	+	LIHGCB_00620	58.0	10.2	PF01464.25|SLT, PF01476.26|LysM	PFAM:PF01464.25, PFAM:PF01476.26
contig_1	675226	675864	+	LIHGCB_00622	24.6	8.4		
contig_1	683716	684990	+	LIHGCB_00628	46.5	8.4	PF00072.30|Response_reg, PF01339.22|CheB_methylest	PFAM:PF00072.30, PFAM:PF01339.22
contig_1	689749	690519	-	LIHGCB_00632	28.3	9.2		
contig_1	691731	692165	-	LIHGCB_00634	15.4	9.1		
contig_1	718518	719030	-	LIHGCB_00657	19.2	7.8		
contig_1	721886	722641	-	LIHGCB_00661	28.9	9.7		
contig_1	722638	722814	-	LIHGCB_00662	6.4	10.0		
contig_1	724873	725475	-	LIHGCB_00665	22.5	9.6		SO:0001217, UniRef:UniRef50_F7XRF1
contig_1	734709	735317	+	LIHGCB_00671	22.5	11.6	PF01713.27|Smr	PFAM:PF01713.27
contig_1	736333	736611	-	LIHGCB_00673	10.3	4.7		
contig_1	736633	737241	-	LIHGCB_00674	21.7	6.3		
contig_1	737495	738418	+	LIHGCB_00676	34.7	9.3		
contig_1	738415	738732	+	LIHGCB_00677	11.6	9.7		
contig_1	739882	741015	-	LIHGCB_00679	40.4	8.6	PF00842.27|Ala_racemase_C, PF01168.26|Ala_racemase_N	PFAM:PF00842.27, PFAM:PF01168.26
contig_1	741044	741646	-	LIHGCB_00680	21.3	9.4		
contig_1	741700	742833	+	LIHGCB_00681	41.6	9.6	PF00348.22|polyprenyl_synt	PFAM:PF00348.22
contig_1	749801	750793	-	LIHGCB_00686	37.2	6.6	PF02016.21|Peptidase_S66, PF17676.7|Peptidase_S66C	PFAM:PF02016.21, PFAM:PF17676.7
contig_1	750815	752197	-	LIHGCB_00687	52.2	9.6	PF00009.33|GTP_EFTU, PF00025.27|Arf, PF00071.28|Ras, PF00350.29|Dynamin_N, PF00910.28|RNA_helicase, PF02263.25|GBP, PF02421.24|FeoB_N, PF03193.22|RsgA_GTPase, PF04548.22|AIG1, PF04670.18|Gtr1_RagA, PF08477.19|Roc, PF09439.16|SRPRB, PF14714.11|KH_dom-like	PFAM:PF00009.33, PFAM:PF00025.27, PFAM:PF00071.28, PFAM:PF00350.29, PFAM:PF00910.28, PFAM:PF02263.25, PFAM:PF02421.24, PFAM:PF03193.22, PFAM:PF04548.22, PFAM:PF04670.18, PFAM:PF08477.19, PFAM:PF09439.16, PFAM:PF14714.11
contig_1	755077	756399	-	LIHGCB_00692	47.8	6.2		
contig_1	756559	757236	+	LIHGCB_00693	24.4	9.7		
contig_1	760642	761100	-	LIHGCB_00697	15.8	6.2	PF10895.14|DUF2715	PFAM:PF10895.14
contig_1	761314	761706	-	LIHGCB_00698	14.2	4.8		
contig_1	762218	763450	-	LIHGCB_00701	45.0	10.0	PF01551.29|Peptidase_M23	PFAM:PF01551.29
contig_1	769652	770029	-	LIHGCB_00705	13.5	10.5		
contig_1	770196	770711	+	LIHGCB_00706	18.0	4.4		
contig_1	773571	774146	+	LIHGCB_00709	21.4	9.2		
contig_1	782303	783349	-	LIHGCB_00718	37.1	4.4		
contig_1	784925	785056	-	LIHGCB_00721	5.0	6.0		
contig_1	786573	786770	-	LIHGCB_00724	7.5	6.7		
contig_1	790687	791538	+	LIHGCB_00728	30.7	9.3		
contig_1	791612	792232	+	LIHGCB_00729	23.7	6.5	PF00293.34|NUDIX	PFAM:PF00293.34
contig_1	798721	799056	-	LIHGCB_00736	12.3	6.4		
contig_1	800323	801036	-	LIHGCB_00738	25.7	6.6		
contig_1	803170	803496	-	LIHGCB_00742	11.4	7.7		
contig_1	809976	810647	+	LIHGCB_00747	26.0	9.1	PF00092.34|VWA, PF13519.12|VWA_2	PFAM:PF00092.34, PFAM:PF13519.12
contig_1	812758	813042	-	LIHGCB_00750	10.3	6.0		
contig_1	813039	814376	-	LIHGCB_00751	51.2	9.2	PF01938.26|TRAM, PF04055.27|Radical_SAM	PFAM:PF01938.26, PFAM:PF04055.27
contig_1	814451	815140	-	LIHGCB_00752	25.9	7.0	PF00359.27|PTS_EIIA_2, PF12728.13|HTH_17	PFAM:PF00359.27, PFAM:PF12728.13
