"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCA_000217655.1","GCA_030436145.1"
"DNA-directed RNA polymerase subunit alpha","","DNA-directed RNA polymerase subunit alpha","2","2","1","1","328","","","","1055","1055","1055","LIHGCB_00210","OBIBPL_00213"
"CTP synthase","","CTP synthase","2","2","1","1","414","","","","1778","1778","1778","LIHGCB_00308","OBIBPL_00310"
"Glucose-6-phosphate 1-dehydrogenase","","Glucose-6-phosphate 1-dehydrogenase","2","2","1","1","578","","","","1547","1547","1547","LIHGCB_00474","OBIBPL_00471"
"Phosphatidate cytidylyltransferase","","Phosphatidate cytidylyltransferase","2","2","1","1","694","","","","863","863","863","LIHGCB_00601","OBIBPL_00598"
"Isoleucine--tRNA ligase","","Isoleucine--tRNA ligase","2","2","1","1","553","","","","3275","3464","3369","LIHGCB_00450","OBIBPL_00447"
"Flavin-dependent thymidylate synthase","","Flavin-dependent thymidylate synthase","2","2","1","1","36","","","","917","917","917","LIHGCB_00996","OBIBPL_00993"
"group_171","hypothetical protein","hypothetical protein","2","2","1","1","846","","","","833","833","833","LIHGCB_00759","OBIBPL_00758"
"group_172","HD-GYP domain-containing protein","HD-GYP domain-containing protein","2","2","1","1","950","","","","1097","1097","1097","LIHGCB_00866","OBIBPL_00864"
"group_173","hypothetical protein","hypothetical protein","2","2","1","1","325","","","","113","113","113","LIHGCB_00207","OBIBPL_00210"
"V-type ATP synthase subunit D 1","","V-type ATP synthase subunit D 1","2","2","1","1","530","","","","620","620","620","LIHGCB_00428","OBIBPL_00425"
"GGDEF domain-containing protein","","GGDEF domain-containing protein","2","2","1","1","61","","","","1043","1043","1043","LIHGCB_00969","OBIBPL_00966"
"Elongation factor P--(R)-beta-lysine ligase","","Elongation factor P--(R)-beta-lysine ligase","2","2","1","1","2","","","","1055","1055","1055","LIHGCB_01029","OBIBPL_01026"
"Beta sliding clamp","","Beta sliding clamp","2","2","1","1","131","","","","1115","1115","1115","LIHGCB_00002","OBIBPL_00002"
"group_178","hypothetical protein","hypothetical protein","2","2","1","1","220","","","","794","794","794","LIHGCB_00097","OBIBPL_00097"
"Elongation factor Ts","","Elongation factor Ts","2","2","1","1","697","","","","872","872","872","LIHGCB_00604","OBIBPL_00601"
"group_18","hypothetical protein","HTH cro/C1-type domain-containing protein","2","2","1","1","563","","","","356","389","372","LIHGCB_00460","OBIBPL_00457"
"group_180","hypothetical protein","hypothetical protein","2","2","1","1","345","","","","578","578","578","LIHGCB_00232","OBIBPL_00234"
"rlpA","","putative endolytic peptidoglycan transglycosylase RlpA","2","2","1","1","49","","","","1025","1025","1025","LIHGCB_00981","OBIBPL_00978"
"Large ribosomal subunit protein bL19","","Large ribosomal subunit protein bL19","2","2","1","1","981","","","","371","371","371","LIHGCB_00896","OBIBPL_00894"
"group_183","hypothetical protein","hypothetical protein","2","2","1","1","796","","","","575","575","575","LIHGCB_00709","OBIBPL_00708"
"Large ribosomal subunit protein uL24","","Large ribosomal subunit protein uL24","2","2","1","1","316","","","","311","311","311","LIHGCB_00198","OBIBPL_00201"
"group_185","hypothetical protein","hypothetical protein","2","2","1","1","640","","","","1874","1874","1874","LIHGCB_00543","OBIBPL_00540"
"NADH oxidase","","NADH oxidase","2","2","1","1","119","","","","1337","1337","1337","LIHGCB_00908","OBIBPL_00906"
"group_187","hypothetical protein","hypothetical protein","2","2","1","1","811","","","","197","197","197","LIHGCB_00724","OBIBPL_00723"
"Lipoprotein signal peptidase","","Lipoprotein signal peptidase","2","2","1","1","64","","","","560","560","560","LIHGCB_00966","OBIBPL_00963"
"PASTA domain-containing protein","","PASTA domain-containing protein","2","2","1","1","843","","","","1865","1865","1865","LIHGCB_00756","OBIBPL_00755"
"group_19","hypothetical protein","hypothetical protein","2","2","1","1","570","","","","845","1157","1001","LIHGCB_00466","OBIBPL_00463"
"V-type ATPase, K subunit","","V-type ATPase, K subunit","2","2","1","1","532","","","","422","422","422","LIHGCB_00430","OBIBPL_00427"
"SsrA-binding protein","","SsrA-binding protein","2","2","1","1","300","","","","464","464","464","LIHGCB_00182","OBIBPL_00185"
"Antigen, p83/100","","Antigen, p83/100","2","2","1","1","585","","","","1595","1595","1595","LIHGCB_00481","OBIBPL_00478"
"ycfH","","Deoxyribonuclease YcfH","2","2","1","1","63","","","","773","773","773","LIHGCB_00967","OBIBPL_00964"
"group_194","DNA 3'-5' helicase","DNA 3'-5' helicase","2","2","1","1","221","","","","1973","1973","1973","LIHGCB_00098","OBIBPL_00098"
"tRNA (guanine-N(1)-)-methyltransferase","","tRNA (guanine-N(1)-)-methyltransferase","2","2","1","1","980","","","","752","752","752","LIHGCB_00895","OBIBPL_00893"
"group_196","hypothetical protein","hypothetical protein","2","2","1","1","966","","","","470","470","470","LIHGCB_00882","OBIBPL_00880"
"FAD-binding FR-type domain-containing protein","","FAD-binding FR-type domain-containing protein","2","2","1","1","821","","","","842","842","842","LIHGCB_00734","OBIBPL_00733"
"Aminopeptidase","","Aminopeptidase","2","2","1","1","232","","","","1352","1352","1352","LIHGCB_00112","OBIBPL_00113"
"htpG","","Chaperone protein HtpG","2","2","1","1","58","","","","1919","1919","1919","LIHGCB_00972","OBIBPL_00969"
"mglB","","D-galactose/methyl-galactoside binding periplasmic protein MglB","2","2","1","1","641","","","","947","1064","1005","LIHGCB_00544","OBIBPL_00541"
"group_200","ABC superfamily ATP binding cassette transporter, ABC protein","ABC superfamily ATP binding cassette transporter, ABC protein","2","2","1","1","954","","","","842","842","842","LIHGCB_00870","OBIBPL_00868"
"group_201","hypothetical protein","hypothetical protein","2","2","1","1","346","","","","812","812","812","LIHGCB_00233","OBIBPL_00235"
"Uncharacterized protein TP_0110","","Uncharacterized protein TP_0110","2","2","1","1","230","","","","1712","1712","1712","LIHGCB_00110","OBIBPL_00111"
"group_203","hypothetical protein","hypothetical protein","2","2","1","1","301","","","","707","707","707","LIHGCB_00183","OBIBPL_00186"
"Cysteine--tRNA ligase","","Cysteine--tRNA ligase","2","2","1","1","210","","","","1562","1562","1562","LIHGCB_00087","OBIBPL_00087"
"group_205","hypothetical protein","hypothetical protein","2","2","1","1","912","","","","824","824","824","LIHGCB_00828","OBIBPL_00827"
"group_206","hypothetical protein","hypothetical protein","2","2","1","1","299","","","","845","845","845","LIHGCB_00181","OBIBPL_00184"
"Large ribosomal subunit protein uL22","","Large ribosomal subunit protein uL22","2","2","1","1","310","","","","374","374","374","LIHGCB_00192","OBIBPL_00195"
"fliL","","Flagellar protein FliL","2","2","1","1","807","","","","548","548","548","LIHGCB_00720","OBIBPL_00719"
"Small ribosomal subunit protein uS4","","Small ribosomal subunit protein uS4","2","2","1","1","415","","","","614","614","614","LIHGCB_00309","OBIBPL_00311"
"Uncharacterized protein TP_0577","","Uncharacterized protein TP_0577","2","2","1","1","673","","","","1745","1769","1757","LIHGCB_00576","OBIBPL_00573"
"group_210","lysM","LysM domain protein","2","2","1","1","375","","","","602","602","602","LIHGCB_00264","OBIBPL_00266"
"group_211","hypothetical protein","hypothetical protein","2","2","1","1","233","","","","986","986","986","LIHGCB_00113","OBIBPL_00114"
"group_212","hypothetical protein","hypothetical protein","2","2","1","1","68","","","","278","278","278","LIHGCB_00962","OBIBPL_00959"
"Thiamine diphosphokinase","","Thiamine diphosphokinase","2","2","1","1","615","","","","692","692","692","LIHGCB_00517","OBIBPL_00514"
"group_214","hypothetical protein","hypothetical protein","2","2","1","1","691","","","","653","653","653","LIHGCB_00598","OBIBPL_00595"
"group_215","hypothetical protein","hypothetical protein","2","2","1","1","469","","","","335","335","335","LIHGCB_00370","OBIBPL_00368"
"group_216","hypothetical protein","hypothetical protein","2","2","1","1","330","","","","197","197","197","LIHGCB_00212","OBIBPL_00215"
"Uncharacterized protein TP_0483","","Uncharacterized protein TP_0483","2","2","1","1","582","","","","1124","1124","1124","LIHGCB_00478","OBIBPL_00475"
"group_218","hypothetical protein","hypothetical protein","2","2","1","1","454","","","","374","374","374","LIHGCB_00386","OBIBPL_00383"
"Chaperonin GroEL","","Chaperonin GroEL","2","2","1","1","153","","","","1634","1634","1634","LIHGCB_00030","OBIBPL_00030"
"group_22","Uncharacterized protein TP_0698","hypothetical protein","2","2","1","1","785","","","","458","554","506","LIHGCB_00697","OBIBPL_00696"
"Nitrogen fixation protein (NifU)","","Nitrogen fixation protein (NifU)","2","2","1","1","706","","","","443","443","443","LIHGCB_00614","OBIBPL_00611"
"DNA polymerase I","","DNA polymerase I","2","2","1","1","225","","","","2993","2993","2993","LIHGCB_00102","OBIBPL_00103"
"parB","","putative chromosome-partitioning protein ParB","2","2","1","1","388","","","","974","974","974","LIHGCB_00282","OBIBPL_00284"
"group_223","hypothetical protein","hypothetical protein","2","2","1","1","140","","","","1814","1814","1814","LIHGCB_00011","OBIBPL_00011"
"potA","","Spermidine/putrescine import ATP-binding protein PotA","2","2","1","1","741","","","","1127","1127","1127","LIHGCB_00649","OBIBPL_00648"
"Protein Tp75","","Protein Tp75","2","2","1","1","136","","","","1100","1100","1100","LIHGCB_00007","OBIBPL_00007"
"Putative transport protein TP_0553","","Putative transport protein TP_0553","2","2","1","1","650","","","","1211","1211","1211","LIHGCB_00553","OBIBPL_00550"
"recG","","ATP-dependent DNA helicase RecG","2","2","1","1","774","","","","2060","2060","2060","LIHGCB_00685","OBIBPL_00684"
"RNA polymerase sigma-54 factor","","RNA polymerase sigma-54 factor","2","2","1","1","231","","","","1427","1427","1427","LIHGCB_00111","OBIBPL_00112"
"group_229","hypothetical protein","hypothetical protein","2","2","1","1","130","","","","1394","1394","1394","LIHGCB_00001","OBIBPL_00001"
"Uncharacterized protein TP_0733","","Uncharacterized protein TP_0733","2","2","1","1","818","","","","632","638","635","LIHGCB_00731","OBIBPL_00730"
"group_230","hypothetical protein","hypothetical protein","2","2","1","1","965","","","","1457","1457","1457","LIHGCB_00881","OBIBPL_00879"
"Uncharacterized protein TP_0969","","Uncharacterized protein TP_0969","2","2","1","1","72","","","","1544","1544","1544","LIHGCB_00958","OBIBPL_00955"
"DUF2715 domain-containing protein","","DUF2715 domain-containing protein","2","2","1","1","784","","","","635","635","635","LIHGCB_00696","OBIBPL_00695"
"Uncharacterized protein TP_0941","","Uncharacterized protein TP_0941","2","2","1","1","101","","","","518","518","518","LIHGCB_00929","OBIBPL_00927"
"group_234","hypothetical protein","hypothetical protein","2","2","1","1","31","","","","890","890","890","LIHGCB_01001","OBIBPL_00998"
"group_235","hypothetical protein","hypothetical protein","2","2","1","1","42","","","","1238","1238","1238","LIHGCB_00990","OBIBPL_00987"
"group_236","hypothetical protein","hypothetical protein","2","2","1","1","172","","","","1067","1067","1067","LIHGCB_00049","OBIBPL_00049"
"flhB","","Flagellar biosynthetic protein FlhB","2","2","1","1","800","","","","1130","1130","1130","LIHGCB_00713","OBIBPL_00712"
"group_238","hypothetical protein","hypothetical protein","2","2","1","1","770","","","","1133","1133","1133","LIHGCB_00681","OBIBPL_00680"
"femA","","FemA protein, putative","2","2","1","1","885","","","","1463","1463","1463","LIHGCB_00801","OBIBPL_00800"
"group_24","hypothetical protein","hypothetical protein","2","2","1","1","838","","","","1337","1370","1353","LIHGCB_00751","OBIBPL_00750"
"1-deoxy-D-xylulose-5-phosphate synthase","","1-deoxy-D-xylulose-5-phosphate synthase","2","2","1","1","901","","","","1892","1892","1892","LIHGCB_00817","OBIBPL_00816"
"DNA-directed RNA polymerase subunit beta'","","DNA-directed RNA polymerase subunit beta'","2","2","1","1","358","","","","4250","4250","4250","LIHGCB_00247","OBIBPL_00249"
"group_242","hypothetical protein","hypothetical protein","2","2","1","1","792","","","","377","377","377","LIHGCB_00705","OBIBPL_00704"
"DNA-directed RNA polymerase subunit beta","","DNA-directed RNA polymerase subunit beta","2","2","1","1","357","","","","3536","3536","3536","LIHGCB_00246","OBIBPL_00248"
"histidine kinase","","histidine kinase","2","2","1","1","617","","","","1190","1190","1190","LIHGCB_00519","OBIBPL_00516"
"UDP-N-acetylmuramyl-tripeptide synthetase","","UDP-N-acetylmuramyl-tripeptide synthetase","2","2","1","1","109","","","","1622","1622","1622","LIHGCB_00920","OBIBPL_00918"
"CarD-like/TRCF RNAP-interacting domain-containing protein","","CarD-like/TRCF RNAP-interacting domain-containing protein","2","2","1","1","608","","","","611","611","611","LIHGCB_00510","OBIBPL_00507"
"group_247","hypothetical protein","hypothetical protein","2","2","1","1","525","","","","806","806","806","LIHGCB_00423","OBIBPL_00420"
"group_248","hypothetical protein","hypothetical protein","2","2","1","1","825","","","","713","713","713","LIHGCB_00738","OBIBPL_00737"
"Asparagine--tRNA ligase","","Asparagine--tRNA ligase","2","2","1","1","700","","","","1787","1787","1787","LIHGCB_00608","OBIBPL_00605"
"putative nucleoside-triphosphate diphosphatase","","putative nucleoside-triphosphate diphosphatase","2","2","1","1","861","","","","908","941","924","LIHGCB_00776","OBIBPL_00776"
"Small ribosomal subunit protein uS7","","Small ribosomal subunit protein uS7","2","2","1","1","360","","","","470","470","470","LIHGCB_00249","OBIBPL_00251"
"group_251","hypothetical protein","hypothetical protein","2","2","1","1","483","","","","290","290","290","LIHGCB_00356","OBIBPL_00354"
"Glyceraldehyde-3-phosphate dehydrogenase","","Glyceraldehyde-3-phosphate dehydrogenase","2","2","1","1","920","","","","1052","1052","1052","LIHGCB_00836","OBIBPL_00835"
"group_253","hypothetical protein","hypothetical protein","2","2","1","1","891","","","","1022","1022","1022","LIHGCB_00807","OBIBPL_00806"
"group_254","hypothetical protein","hypothetical protein","2","2","1","1","401","","","","833","833","833","LIHGCB_00295","OBIBPL_00297"
"group_255","hypothetical protein","hypothetical protein","2","2","1","1","522","","","","752","752","752","LIHGCB_00420","OBIBPL_00417"
"Nuclease SbcCD subunit C","","Nuclease SbcCD subunit C","2","2","1","1","719","","","","3143","3143","3143","LIHGCB_00624","OBIBPL_00622"
"TPR domain protein","","TPR domain protein","2","2","1","1","185","","","","305","305","305","LIHGCB_00062","OBIBPL_00062"
"group_258","hypothetical protein","hypothetical protein","2","2","1","1","675","","","","776","776","776","LIHGCB_00578","OBIBPL_00575"
"group_259","hypothetical protein","hypothetical protein","2","2","1","1","911","","","","2804","2804","2804","LIHGCB_00827","OBIBPL_00826"
"lptB","","Lipopolysaccharide export system ATP-binding protein LptB","2","2","1","1","869","","","","713","848","780","LIHGCB_00784","OBIBPL_00784"
"group_260","hypothetical protein","hypothetical protein","2","2","1","1","631","","","","1025","1025","1025","LIHGCB_00533","OBIBPL_00530"
"Tetratricopeptide repeat protein","","Tetratricopeptide repeat protein","2","2","1","1","142","","","","947","947","947","LIHGCB_00013","OBIBPL_00013"
"group_262","hypothetical protein","hypothetical protein","2","2","1","1","568","","","","1070","1070","1070","LIHGCB_00464","OBIBPL_00461"
"Conserved hypothetical integral membrane protein","","Conserved hypothetical integral membrane protein","2","2","1","1","957","","","","1097","1097","1097","LIHGCB_00873","OBIBPL_00871"
"endopeptidase La","","endopeptidase La","2","2","1","1","141","","","","2558","2558","2558","LIHGCB_00012","OBIBPL_00012"
"group_265","hypothetical protein","hypothetical protein","2","2","1","1","103","","","","236","236","236","LIHGCB_00927","OBIBPL_00925"
"group_266","hypothetical protein","hypothetical protein","2","2","1","1","100","","","","464","464","464","LIHGCB_00930","OBIBPL_00928"
"group_267","hypothetical protein","hypothetical protein","2","2","1","1","164","","","","1892","1892","1892","LIHGCB_00041","OBIBPL_00041"
"group_268","hypothetical protein","hypothetical protein","2","2","1","1","8","","","","1025","1025","1025","LIHGCB_01023","OBIBPL_01020"
"FMN hydroxy acid dehydrogenase domain-containing protein","","FMN hydroxy acid dehydrogenase domain-containing protein","2","2","1","1","402","","","","881","881","881","LIHGCB_00296","OBIBPL_00298"
"UPF0164 protein TP_0858","","UPF0164 protein TP_0858","2","2","1","1","932","","","","1118","1190","1154","LIHGCB_00848","OBIBPL_00847"
"nrnA","","Bifunctional oligoribonuclease and PAP phosphatase NrnA","2","2","1","1","538","","","","1082","1082","1082","LIHGCB_00435","OBIBPL_00432"
"SMF family protein","","SMF family protein","2","2","1","1","446","","","","908","908","908","LIHGCB_00394","OBIBPL_00391"
"Large ribosomal subunit protein uL18","","Large ribosomal subunit protein uL18","2","2","1","1","320","","","","362","362","362","LIHGCB_00202","OBIBPL_00205"
"group_273","hypothetical protein","hypothetical protein","2","2","1","1","968","","","","1022","1022","1022","LIHGCB_00884","OBIBPL_00882"
"Anti-sigma factor antagonist","","Anti-sigma factor antagonist","2","2","1","1","636","","","","365","365","365","LIHGCB_00539","OBIBPL_00536"
"group_275","hypothetical protein","hypothetical protein","2","2","1","1","348","","","","650","650","650","LIHGCB_00235","OBIBPL_00237"
"group_276","hypothetical protein","hypothetical protein","2","2","1","1","793","","","","515","515","515","LIHGCB_00706","OBIBPL_00705"
"Deoxyuridine 5'-triphosphate nucleotidohydrolase","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","2","2","1","1","958","","","","440","440","440","LIHGCB_00874","OBIBPL_00872"
"Isoprenyl transferase","","Isoprenyl transferase","2","2","1","1","695","","","","686","686","686","LIHGCB_00602","OBIBPL_00599"
"lolD","","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","1","677","","","","680","680","680","LIHGCB_00580","OBIBPL_00577"
"group_28","hypothetical protein","hypothetical protein","2","2","1","1","935","","","","755","1466","1110","LIHGCB_00851","OBIBPL_00849"
"Alkyl hydroperoxide reductase C","","Alkyl hydroperoxide reductase C","2","2","1","1","606","","","","566","566","566","LIHGCB_00508","OBIBPL_00505"
"flaB1","","Flagellin FlaB1","2","2","1","1","943","","","","860","860","860","LIHGCB_00859","OBIBPL_00857"
